bag_ID,stream,date_dep,date_coll,days_in_record,vial_mass_g,vial_cap_litter_mass_g,dm_g
F0097,CWCR,8/31/18,11/2/18,63,6.6865,6.8664,0.1799
F0098,CWCR,8/31/18,11/2/18,63,6.5402,6.5957,0.0555
F0099,CWCR,8/31/18,11/2/18,63,NA,,
F0100,CWCR,8/31/18,11/2/18,63,6.4768,6.5973,0.1205
F0101,WS09,8/31/18,11/2/18,63,NA,,
F0102,WS09,8/31/18,11/2/18,63,6.6137,6.7218,0.1081
F0103,WS09,8/31/18,11/2/18,63,6.6217,6.8015,0.1798
F0104,WS09,8/31/18,11/2/18,63,6.4509,6.5898,0.1389
F0105,HNCR,8/31/18,11/2/18,63,6.5258,6.6598,0.134
F0106,HNCR,8/31/18,11/2/18,63,6.4856,6.5758,0.0902
F0107,HNCR,8/31/18,11/2/18,63,NA,,
F0108,HNCR,8/31/18,11/2/18,63,6.3886,6.5093,0.1207
F0109,WS55,8/31/18,11/2/18,63,6.4885,6.6811,0.1926
F0110,WS55,8/31/18,11/2/18,63,NA,,
F0111,WS55,8/31/18,11/2/18,63,6.4734,6.6598,0.1864
F0112,WS55,8/31/18,11/2/18,63,6.6448,6.7566,0.1118
F0113,TOWR,8/31/18,11/2/18,63,6.4801,6.8004,0.3203
F0114,TOWR,8/31/18,11/2/18,63,6.6224,6.8906,0.2682
F0115,TOWR,8/31/18,11/2/18,63,6.4958,6.6636,0.1678
F0116,TOWR,8/31/18,11/2/18,63,NA,,
F0117,WS17,8/31/18,11/2/18,63,NA,,
F0118,WS17,8/31/18,11/2/18,63,6.3775,6.462,0.0845
F0119,WS17,8/31/18,11/2/18,63,6.5297,6.6367,0.107
F0120,WS17,8/31/18,11/2/18,63,6.4964,6.6634,0.167
F0121,WS37,8/31/18,11/2/18,63,6.5667,6.7084,0.1417
F0122,WS37,8/31/18,11/2/18,63,6.4836,6.6464,0.1628
F0123,WS37,8/31/18,11/2/18,63,NA,,
F0124,WS37,8/31/18,11/2/18,63,6.5419,6.6841,0.1422
F0125,WS34,8/31/18,11/2/18,63,6.5521,6.7375,0.1854
F0126,WS34,8/31/18,11/2/18,63,6.4703,6.6336,0.1633
F0127,WS34,8/31/18,11/2/18,63,NA,,
F0128,WS34,8/31/18,11/2/18,63,6.4665,6.572,0.1055
F0129,LCCR,8/31/18,11/2/18,63,6.5283,6.6656,0.1373
F0130,LCCR,8/31/18,11/2/18,63,NA,,
F0131,LCCR,8/31/18,11/2/18,63,6.5815,6.7279,0.1464
F0132,LCCR,8/31/18,11/2/18,63,6.4998,6.6212,0.1214
F0133,USHF,8/31/18,11/2/18,63,6.447,6.6095,0.1625
F0134,USHF,8/31/18,11/2/18,63,6.5921,6.7044,0.1123
F0135,USHF,8/31/18,11/2/18,63,NA,,
F0136,USHF,8/31/18,11/2/18,63,6.5102,6.6219,0.1117
F0193,LCCR,9/28/18,12/5/18,68,8.3341,8.4885,0.1544
F0194,LCCR,9/28/18,12/5/18,68,NA,,
F0195,LCCR,9/28/18,12/5/18,68,8.4115,8.485,0.0735
F0196,LCCR,9/28/18,12/5/18,68,8.308,8.4819,0.1739
F0197,WS55,9/28/18,12/5/18,68,NA,,
F0198,WS55,9/28/18,12/5/18,68,8.3483,8.4454,0.0971
F0199,WS55,9/28/18,12/5/18,68,8.2428,8.3243,0.0815
F0200,WS55,9/28/18,12/5/18,68,8.3283,8.4107,0.0824
F0201,WS37,9/28/18,12/5/18,68,8.1513,8.3127,0.1614
F0202,WS37,9/28/18,12/5/18,68,8.3616,8.5407,0.1791
F0203,WS37,9/28/18,12/5/18,68,NA,,
F0204,WS37,9/28/18,12/5/18,68,8.3214,8.4999,0.1785
F0205,USHF,9/28/18,12/5/18,68,8.252,8.324,0.072
F0206,USHF,9/28/18,12/5/18,68,8.2067,8.344,0.1373
F0207,USHF,9/28/18,12/5/18,68,8.2523,8.4196,0.1673
F0208,USHF,9/28/18,12/5/18,68,NA,,
F0209,WS34,9/28/18,12/5/18,68,8.1879,8.358,0.1701
F0210,WS34,9/28/18,12/5/18,68,8.4042,8.6185,0.2143
F0211,WS34,9/28/18,12/5/18,68,NA,,
F0212,WS34,9/28/18,12/5/18,68,8.1091,8.2653,0.1562
F0213,TOWR,9/28/18,12/5/18,68,8.2939,8.4295,0.1356
F0214,TOWR,9/28/18,12/5/18,68,NA,,
F0215,TOWR,9/28/18,12/5/18,68,8.1377,8.2735,0.1358
F0216,TOWR,9/28/18,12/5/18,68,8.2708,,
F0217,HNCR,9/28/18,12/5/18,68,8.4254,8.5641,0.1387
F0218,HNCR,9/28/18,12/5/18,68,8.2627,8.3293,0.0666
F0219,HNCR,9/28/18,12/5/18,68,8.302,8.4852,0.1832
F0220,HNCR,9/28/18,12/5/18,68,NA,,
F0221,WS17,9/28/18,12/5/18,68,NA,,
F0222,WS17,9/28/18,12/5/18,68,8.3971,8.5216,0.1245
F0223,WS17,9/28/18,12/5/18,68,8.23,8.3046,0.0746
F0224,WS17,9/28/18,12/5/18,68,8.3778,8.5525,0.1747
F0225,WS09,9/28/18,12/5/18,68,8.3288,8.5023,0.1735
F0226,WS09,9/28/18,12/5/18,68,8.43,8.5907,0.1607
F0227,WS09,9/28/18,12/5/18,68,NA,,
F0228,WS09,9/28/18,12/5/18,68,8.2089,8.3876,0.1787
F0229,CWCR,9/28/18,12/5/18,68,NA,,
F0230,CWCR,9/28/18,12/5/18,68,8.312,8.4706,0.1586
F0231,CWCR,9/28/18,12/5/18,68,8.2585,8.4311,0.1726
F0232,CWCR,9/28/18,12/5/18,68,8.2074,8.4038,0.1964
F0289,WS34,11/2/18,1/7/19,66,6.4344,6.5898,0.1554
F0290,WS34,11/2/18,1/7/19,66,NA,,
F0291,WS34,11/2/18,1/7/19,66,6.3943,6.5051,0.1108
F0292,WS34,11/2/18,1/7/19,66,6.4616,6.571,0.1094
F0293,WS09,11/2/18,1/7/19,66,6.3423,6.4716,0.1293
F0294,WS09,11/2/18,1/7/19,66,NA,,
F0295,WS09,11/2/18,1/7/19,66,6.46,6.594,0.134
F0296,WS09,11/2/18,1/7/19,66,6.3627,6.5017,0.139
F0297,WS55,11/2/18,1/7/19,66,NA,,
F0298,WS55,11/2/18,1/7/19,66,6.3781,6.5552,0.1771
F0299,WS55,11/2/18,1/7/19,66,6.3785,6.4725,0.094
F0300,WS55,11/2/18,1/7/19,66,6.5023,6.6781,0.1758
F0301,WS17,11/2/18,1/7/19,66,6.0931,,-6.0931
F0302,WS17,11/2/18,1/7/19,66,6.3305,6.4962,0.1657
F0303,WS17,11/2/18,1/7/19,66,6.3844,6.483,0.0986
F0304,WS17,11/2/18,1/7/19,66,NA,,
F0305,USHF,11/2/18,1/7/19,66,6.4828,6.6229,0.1401
F0306,USHF,11/2/18,1/7/19,66,NA,,
F0307,USHF,11/2/18,1/7/19,66,6.4075,,-6.4075
