bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
C0001,R,5.07,3.83,1.7586,5.5656,NA,9/21/17,11/15/17,WS36,,,
C0002,R,4.92,3.83,1.7732,5.6023,2.0003,9/21/17,11/15/17,WS36,,,
C0003,R,4.98,4.05,2.1279,5.131,2.3084,9/21/17,11/15/17,WS36,,,
C0004,R,4.91,3.86,2.0755,5.8691,2.3249,9/21/17,11/15/17,WS36,,,
C0005,R,5.04,4.31,1.9789,6.2422,2.2108,9/21/17,11/15/17,WS31,,,
C0006,R,4.92,4.21,1.7749,5.7927,1.9843,9/21/17,11/15/17,WS31,,,
C0007,R,4.99,4.38,3.6298,7.331,3.8484,9/21/17,11/15/17,WS31,,,
C0008,R,4.95,4.35,2.1033,6.3184,2.333,9/21/17,11/15/17,WS31,,,
C0009,R,5.05,4.23,1.758,5.951,1.986,9/21/17,11/15/17,WS32,,,
C0010,R,5.05,4.4,2.0006,6.1629,2.2046,9/21/17,11/15/17,WS32,,,
C0011,R,5.08,3.82,1.7688,5.9809,1.9997,9/21/17,11/15/17,WS32,,,
C0012,R,5.01,4.55,3.6627,8.2119,3.9059,9/21/17,11/15/17,WS32,,,
C0013,R,4.93,4,1.7871,5.4018,2.0141,9/21/17,11/15/17,WS07,,,
C0014,R,5,2.99,1.7816,5.4058,2.0265,9/21/17,11/15/17,WS07,,,
C0015,R,4.98,3.78,2.0981,NA,NA,9/21/17,11/15/17,WS07,,,
C0016,R,5.02,4.02,1.9582,5.9087,2.2299,9/21/17,11/15/17,WS07,,,
C0017,R,4.96,3.24,1.9964,4.8077,2.155,9/21/17,11/15/17,WS02,,,
C0018,R,5,3.63,2.0595,5.4082,NA,9/21/17,11/15/17,WS02,,,
C0019,R,5,4.39,1.7338,5.6945,1.9557,9/21/17,11/15/17,WS02,,,
C0020,R,4.95,4.15,2.0283,6.0881,2.2515,9/21/17,11/15/17,WS02,,,
C0021,R,5.02,3.95,3.6082,7.5758,3.8841,9/21/17,11/15/17,WS01,,,
C0022,R,4.99,3.7,2.0873,5.5929,2.3559,9/21/17,11/15/17,WS01,,,
C0023,R,4.94,3.68,2.0964,5.5986,2.3519,9/21/17,11/15/17,WS01,,,
