bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,subsample_g,ash_g
HL01,R,5.1,5.04,2.0954,4.9148,0.2052
HL02,R,4.89,4.85,1.737,4.7909,0.2471
HL03,R,5.09,5.04,1.7573,5.0032,0.2015
HL04,R,5.05,4.99,1.7692,4.9568,0.2126
HL05,R,5.08,5.01,1.7875,4.973,0.2379
HL06,R,5.08,5.02,2.0871,4.9572,0.2221
HL07,R,5.01,4.95,1.7495,4.8883,0.2205
HL08,R,5.09,5.04,1.9981,4.9835,0.2007
HL09,A,5.03,4.65,2.1035,4.481,0.2083
HL10,A,5.01,4.78,1.7537,4.6615,0.2216
HL11,A,4.89,4.44,2.0928,4.3722,0.2159
HL12,A,4.93,4.59,2.1283,4.3232,0.2113
HL13,A,5.01,4.67,1.7439,4.486,0.2285
HL14,A,4.95,4.49,1.7814,4.4117,0.2041
HL15,A,5.09,4.81,1.7686,4.7326,0.2179
HL16,A,5.05,4.71,2.0191,4.4496,0.1971
