"","bag_n","rhodo_acer","date_dep","date_coll","stream","percent_afdm_rem_C","percent_afdm_rem_F","ln_percent_afdm_rem_C","ln_percent_afdm_rem_F","days_in_record","ln_percent_afdm_start","abs_val_k_coarse","abs_val_k_fine","abs_val_k_shred","new_shredder_k"
"1","0001","R",2017-09-21,2017-11-15,"WS36",NA,83.7374459846678,NA,4.42768626077871,55,4.60517018598809,NA,0.00322698045835239,NA,NA
"2","0002","R",2017-09-21,2017-11-15,"WS36",77.5103170169704,87.0834129984671,4.35041105029887,4.46686642942543,55,4.60517018598809,0.00463198428525865,0.00251461375568484,0.00211737052957381,0.00116580664303845
"3","0003","R",2017-09-21,2017-11-15,"WS36",80.8953494816092,84.17860489703,4.39315633763598,4.43294079034966,55,4.60517018598809,0.00385479724276567,0.00313144355706232,0.000723353685703352,0.000374195374297985
"4","0004","R",2017-09-21,2017-11-15,"WS36",77.7430489076732,81.745305724786,4.3534091439459,4.40360838580186,55,4.60517018598809,0.00457747349167615,0.00366476000338602,0.000912713488290138,0.000473257252373294
"5","0005","R",2017-09-21,2017-11-15,"WS31",85.5689103725311,85.3558304788733,4.44932202059326,4.44682875948925,55,4.60517018598809,0.00283360300717871,0.00287893502725173,-4.53320200730191e-05,-2.26060534247591e-05
"6","0006","R",2017-09-21,2017-11-15,"WS31",85.8519328160743,84.7910251520365,4.45262410096395,4.44018970172562,55,4.60517018598809,0.0027735651822571,0.00299964516840856,-0.000226079986151459,-0.000111563833493253
"7","0007","R",2017-09-21,2017-11-15,"WS31",87.4063522797427,81.7589037661771,4.47056796056664,4.40377471841758,55,4.60517018598809,0.0024473131894809,0.00366173577400939,-0.00121442258452848,-0.000566542272557624
"8","0008","R",2017-09-21,2017-11-15,"WS31",87.9420316613019,85.4632343429176,4.47667786629796,4.44808627577772,55,4.60517018598809,0.00233622399436595,0.00285607109473397,-0.000519847100368022,-0.000251225817012108
"9","0009","R",2017-09-21,2017-11-15,"WS32",83.8140608283055,88.3414708388731,4.42860078372673,4.4812096557793,55,4.60517018598809,0.00321035276838848,0.00225382782197802,0.000956524946410459,0.000506401459531315
"10","0010","R",2017-09-21,2017-11-15,"WS32",87.6771027109498,80.9889826626119,4.4736607787549,4.39431312891039,55,4.60517018598809,0.00239108013151249,0.00383376467414003,-0.00144268454262754,-0.00066479413322434
"11","0011","R",2017-09-21,2017-11-15,"WS32",75.2030836312263,86.3652015588201,4.32019223584947,4.45858483494464,55,4.60517018598809,0.00518141727524758,0.00266518820078996,0.00251622907445763,0.00139649831356241
"12","0012","R",2017-09-21,2017-11-15,"WS32",90.9706482111549,84.54029659974,4.51053690735717,4.43722830352781,55,4.60517018598809,0.00172060506601676,0.0030534887720052,-0.00133288370598844,-0.000603075708621162
"13","0013","R",2017-09-21,2017-11-15,"WS07",80.4849004311041,79.0103934690692,4.38806959454622,4.36957940671299,55,4.60517018598809,0.00394728348076139,0.00428346871409272,-0.000336185233331337,-0.0001658030155564
"14","0014","R",2017-09-21,2017-11-15,"WS07",59.0084575731994,77.9157573180119,4.07768078233057,4.35562820864771,55,4.60517018598809,0.00959071643013673,0.00453712686073425,0.00505358956940248,0.00283910846545403
"15","0015","R",2017-09-21,2017-11-15,"WS07",NA,81.629643120573,NA,4.40219246953864,55,4.60517018598809,NA,0.00369050393544459,NA,NA
"16","0016","R",2017-09-21,2017-11-15,"WS07",78.9142162584077,81.2943382275564,4.36836139233616,4.39807637363129,55,4.60517018598809,0.00430561443003514,0.00376534204285091,0.000540272387184227,0.000276171080722189
"17","0017","R",2017-09-21,2017-11-15,"WS02",65.2352929228325,83.0931882933633,4.17800062497869,4.41996272850605,55,4.60517018598809,0.00776671929108006,0.00336740831785529,0.00439931097322478,0.00250252451058354
"18","0018","R",2017-09-21,2017-11-15,"WS02",NA,83.9644276295779,NA,4.43039322854982,55,4.60517018598809,NA,0.00317776286251407,NA,NA
"19","0019","R",2017-09-21,2017-11-15,"WS02",87.7108435898432,83.9173832781604,4.47404553586075,4.4298327824551,55,4.60517018598809,0.00238408454776981,0.00318795279150897,-0.000803868243739167,-0.0003824968757172
"20","0020","R",2017-09-21,2017-11-15,"WS02",83.8558148572413,85.2471952287104,4.429098834192,4.4455552150794,55,4.60517018598809,0.00320129730538348,0.00290209038015795,0.000299206925225529,0.000152049705989559
"21","0021","R",2017-09-21,2017-11-15,"WS01",77.4766258110832,79.4982293849034,4.3499762884305,4.37573474952426,55,4.60517018598809,0.00463988904650162,0.00417155339025155,0.000468335656250073,0.000238319697868005
"22","0022","R",2017-09-21,2017-11-15,"WS01",72.4585946936769,77.2829612993049,4.2830152910431,4.34747350826049,55,4.60517018598809,0.00585736172627255,0.00468539414050186,0.00117196758577069,0.000607769109416916
"23","0023","R",2017-09-21,2017-11-15,"WS01",73.0938091131661,79.1216159385286,4.29174367251491,4.37098611100034,55,4.60517018598809,0.0056986638813305,0.00425789227250461,0.00144077160882589,0.000755329998592355
"24","0024","R",2017-09-21,2017-11-15,"WS01",72.1576045460748,80.2142241281518,4.27885267877978,4.38470085735274,55,4.60517018598809,0.00593304558560568,0.00400853324791543,0.00192451233769024,0.00102498101893464
"25","0025","R",2017-09-21,2017-11-15,"WS08",74.6510978938988,84.4289216872029,4.31282523109606,4.43591001692157,55,4.60517018598809,0.00531536281621885,0.00307745761939129,0.00223790519682755,0.00122036632849361
"26","0026","R",2017-09-21,2017-11-15,"WS08",82.3228692263389,82.3950413893934,4.41064894546575,4.41152525779151,55,4.60517018598809,0.00353674982767892,0.00352081687630145,1.5932951377467e-05,7.97247065608461e-06
"27","0027","R",2017-09-21,2017-11-15,"WS08",76.9164209111419,82.3118924015638,4.34271938962167,4.41051559787035,55,4.60517018598809,0.00477183266120771,0.00353917432941351,0.0012326583317942,0.0006469805644746
"28","0028","R",2017-09-21,2017-11-15,"WS08",81.8959981352355,84.239993899625,4.40545012684756,4.43366979540911,55,4.60517018598809,0.00363127380255512,0.00311818891961785,0.000513084882937275,0.000263053157554429
"29","0029","R",2017-09-21,2017-11-15,"WS13",72.9830642343592,85.2600024012841,4.29022741744337,4.44570543950132,55,4.60517018598809,0.00572623215535852,0.0028993590270323,0.00282687312832623,0.00157253573028915
"30","0030","R",2017-09-21,2017-11-15,"WS13",83.9132663193393,81.3646670565202,4.42978372158532,4.39894111313002,55,4.60517018598809,0.00318884480732304,0.00374961950651043,-0.000560774699187389,-0.000272820403510452
"31","0031","R",2017-09-21,2017-11-15,"WS13",91.1774311835234,83.6872796274557,4.5128074013628,4.42708699016883,55,4.60517018598809,0.00167932335682345,0.00323787628762296,-0.00155855293079952,-0.000694613501647852
"32","0032","R",2017-09-21,2017-11-15,"WS13",92.4413032176373,86.3442856078076,4.52657388329076,4.45834262530743,55,4.60517018598809,0.00142902368540594,0.00266959201237561,-0.00124056832696966,-0.00055609468576326
"33","0033","R",2017-09-21,2017-11-15,"WS27",79.0517333929659,85.0301330048611,4.37010249121983,4.44300569960748,55,4.60517018598809,0.00427395808669574,0.0029484452069203,0.00132551287977545,0.000703671959410843
"34","0034","R",2017-09-21,2017-11-15,"WS27",76.0275413087387,79.8200780270795,4.33109566028181,4.37977507715806,55,4.60517018598809,0.00498317319465964,0.00409809288781868,0.000885080306840955,0.000456953734331356
"35","0035","R",2017-09-21,2017-11-15,"WS27",83.3801991060375,82.2359576567444,4.42341086038501,4.40959264749229,55,4.60517018598809,0.00330471501096521,0.00355595524537815,-0.000251240234412945,-0.00012408615035724
"36","0036","R",2017-09-21,2017-11-15,"WS27",80.5346481263024,82.5052309850946,4.38868750333092,4.4128616972105,55,4.60517018598809,0.00393604877558499,0.00349651797777436,0.000439530797810632,0.000224101447165102
"37","0037","R",2017-09-21,2017-11-15,"WS18",76.955716610436,80.1946262617103,4.34323014745972,4.38445650840951,55,4.60517018598809,0.00476254615506134,0.00401297595597421,0.000749570199087124,0.000385476824477924
"38","0038","R",2017-09-21,2017-11-15,"WS18",76.3482720304771,NA,4.33530539919474,NA,55,4.60517018598809,0.00490663248715188,NA,NA,NA
"39","0039","R",2017-09-21,2017-11-15,"WS18",67.8800582626824,84.2034810997801,4.21774229868449,4.43323626362147,55,4.60517018598809,0.00704414340552002,0.00312607131575683,0.00391807208976318,0.00222142303386939
"40","0040","R",2017-09-21,2017-11-15,"WS18",73.8754260108924,81.0969100605664,4.30238024235454,4.3956448600326,55,4.60517018598809,0.00550527170242819,0.00380955138100893,0.00169572032141926,0.000899772581832358
