bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0001,R,1.5,1.2730,3.6089,4.8819,3.6815,9/21/17,11/15/17,WS36,,,
F0002,R,1.56,1.3946,3.6365,5.0311,3.7328,9/21/17,11/15/17,WS36,,,
F0003,R,1.74,1.4867,3.6777,5.1644,3.7646,9/21/17,11/15/17,WS36,,,
F0004,R,1.71,1.4302,3.6343,5.0645,3.7286,9/21/17,11/15/17,WS36,,,
F0005,R,1.5,1.3093,3.5609,4.8702,3.6466,9/21/17,11/15/17,WS31,,,
F0006,R,1.49,1.2902,3.6289,4.9191,3.7117,9/21/17,11/15/17,WS31,,,
F0007,R,1.62,1.3434,3.6944,5.0378,3.772,9/21/17,11/15/17,WS31,,,
F0008,R,1.79,1.7393,3.6445,5.3838,3.9218,9/21/17,11/15/17,WS31,,,
F0009,R,1.5,1.3265,3.6206,4.9471,3.6807,9/21/17,11/15/17,WS32,,,
F0010,R,1.75,1.4456,3.652,5.0976,3.7431,9/21/17,11/15/17,WS32,,,
F0011,R,1.58,1.3924,3.612,5.0044,3.7003,9/21/17,11/15/17,WS32,,,
F0012,R,1.65,1.4379,3.6075,5.0454,3.7123,9/21/17,11/15/17,WS32,,,
F0013,R,1.65,1.4100,3.5884,4.9984,3.7525,9/21/17,11/15/17,WS07,,,
F0014,R,1.62,1.3420,3.5974,4.9394,3.7331,9/21/17,11/15/17,WS07,,,
F0015,R,1.63,1.3529,3.6262,4.9791,3.7075,9/21/17,11/15/17,WS07,,,
F0016,R,1.59,1.3683,3.627,4.9953,3.76,9/21/17,11/15/17,WS07,,,
F0017,R,1.46,1.2188,3.6489,4.8677,3.7083,9/21/17,11/15/17,WS02,,,
F0018,R,1.56,1.3419,3.6101,4.952,3.7002,9/21/17,11/15/17,WS02,,,
F0019,R,1.46,1.2570,3.6114,4.8684,3.6975,9/21/17,11/15/17,WS02,,,
F0020,R,1.64,1.4057,3.6298,5.0355,3.6994,9/21/17,11/15/17,WS02,,,
F0021,R,1.62,1.3489,3.6307,4.9796,3.7488,9/21/17,11/15/17,WS01,,,
F0022,R,1.34,1.0834,3.6524,4.7358,3.7461,9/21/17,11/15/17,WS01,,,
F0023,R,1.3,1.1084,3.6415,4.7499,3.7669,9/21/17,11/15/17,WS01,,,
F0024,R,1.41,1.1895,3.6399,4.8294,3.7485,9/21/17,11/15/17,WS01,,,
F0025,R,1.44,1.2602,3.6714,4.9316,3.7697,9/21/17,11/15/17,WS08,,,
F0026,R,1.6,1.3562,3.625,4.9812,3.7213,9/21/17,11/15/17,WS08,,,
F0027,R,1.4,1.2697,3.6293,4.899,3.7977,9/21/17,11/15/17,WS08,,,
F0028,R,1.44,1.2592,3.6608,4.92,3.7607,9/21/17,11/15/17,WS08,,,
F0029,R,1.37,1.2342,3.6702,4.9044,3.7881,9/21/17,11/15/17,WS13,,,
