yyyy-mm-dd,TMIN,TMAX,TAVG,RHMIN,RHMAX,RHAVG,VPMIN,VPMAX,VPAVG,WIND,W_DIR,TOTALSOLAR,AVG_B_PRESS,PPFD
2017-09-21,12.3,30.1,18.3541667,42,100,88.7083333,14.26,25.94,18.3325,0.791666667,170.166667,432.8,94.0791667,396.430417
2017-09-22,12.3,29.7,19.5333333,38,100,85.5416667,14.3,24.58,18.9075,0.845833333,178.458333,479.5,94.0708333,428.736667
2017-09-23,14.3,30.1,19.8625,38,100,85.25,15.13,25.34,19.2020833,0.8625,201.375,438.5,94.0666667,395.494583
2017-09-24,12.1,28.1,18.3541667,49,100,88.4583333,14.13,24.18,18.3420833,0.779166667,195.708333,397.1,94.0625,361.919167
2017-09-25,11.9,28.8,18.0833333,43,100,87.0833333,13.96,23.52,17.6225,0.770833333,177.416667,434.6,93.9125,386.288333
2017-09-26,12.4,28.8,18.6916667,44,100,85.125,14.4,23.77,17.7933333,0.870833333,179.125,486.1,93.8,431.82875
2017-09-27,11.5,30,18.9875,36,100,84.7083333,13.62,23.7,17.9791667,0.895833333,170.125,498.7,93.75,437.33125
2017-09-28,13.1,30.6,19.7666667,34,100,83.2916667,14.33,24.12,18.4370833,0.8,180.666667,486.7,93.7666667,432.309167
2017-09-29,13.9,27.3,19.225,51,100,89.4166667,15.87,24.01,19.6745833,0.8125,183.291667,276.4,93.9625,246.9675
2017-09-30,9.8,26.4,17.7333333,36,99,78.4583333,11.28,18.66,15.2083333,1.02916667,193.291667,467.7,94.3,406.265833
2017-10-01,6.2,21.7,12.5166667,24,99,74.7083333,6.14,12.83,10.14875,1.15833333,154.625,490,94.5791667,414.173333
2017-10-02,3.2,23.2,11.9875,37,100,81.2083333,7.76,14.6,10.8795833,0.95,76.2083333,499.9,94.85,431.286667
2017-10-03,7.7,24.3,14.4458333,46,100,84.125,10.5,17.65,13.3920833,0.958333333,61.0416667,469.2,95.2,407.658333
2017-10-04,6.8,26.2,14.6666667,32,100,82.25,9.87,17.72,13.0416667,0.908333333,76.0416667,492,95.0416667,424.7525
2017-10-05,4.8,26.8,13.7583333,33,100,81.6666667,8.65,16.99,12.1995833,0.875,91.375,491.9,94.5291667,422.75125
2017-10-06,7,26.8,15.7541667,40,100,82.7916667,10.04,18.87,14.3841667,0.8625,61.4166667,480.8,94.2208333,417.524583
2017-10-07,14.9,25.9,19.8333333,69,100,90.875,16.46,24.53,20.9908333,1,16.375,209.7,93.9083333,196.007083
2017-10-08,18.3,22.7,20.6625,84,100,95.5833333,19.51,25.14,23.2679167,1.65,283.333333,32.6,93.3833333,38.9929167
2017-10-09,19.9,25.3,21.9416667,76,100,95.7083333,23.13,28.6,25.14375,0.6,253.125,148.7,93.7458333,141.72
2017-10-10,17.4,29.1,21.8791667,55,100,92.3333333,19.87,29.2,23.9666667,0.754166667,224.5,285.5,94.0916667,268.330417
2017-10-11,15.4,29.8,20.6958333,45,100,87.4583333,17.55,26,20.7879167,0.833333333,180,416.2,94.0375,375.976667
2017-10-12,12.7,28.8,17.8083333,33,100,86.2083333,12.82,21.55,17.1041667,0.8375,194.541667,406.4,94.0666667,356.130833
2017-10-13,12.2,25.7,17.675,59,100,88.625,14.18,21.66,17.7070833,0.916666667,226.916667,327.9,94.4625,299.629583
2017-10-14,13.5,26.6,18.0958333,51,100,90.4166667,15.47,23.03,18.5679167,0.729166667,207.791667,219.7,94.4875,200.25875
2017-10-15,12.6,27,18.1458333,49,100,89.7083333,14.63,23.28,18.3379167,0.825,111.541667,290.1,94.1708333,264.792083
2017-10-16,4.7,19.7,13.8,40,100,80.875,8.06,20,12.7575,1.30833333,2.125,407.8,94.1083333,356.627917
2017-10-17,0.1,19.6,8.12916667,27,100,83.2916667,5.47,12.74,8.57625,0.9375,1.58333333,429.7,94.6375,372.282917
2017-10-18,0.8,22.2,8.45,26,100,82.5416667,6.58,13.09,8.67958333,0.958333333,1.75,429,94.7083333,366.0475
2017-10-19,-0.4,23.9,9.0875,21,100,82.8333333,6.05,12.94,9.11708333,0.783333333,1.625,436.2,94.6458333,373.044167
2017-10-20,1.7,26.6,11.0541667,23,100,82.5833333,6.99,15.69,10.34625,0.8,1.58333333,414.9,94.5958333,362.01
2017-10-21,3.7,23.8,11.925,32,100,82.5416667,8.03,16.06,11.005,0.854166667,1.54166667,340.1,94.7083333,298.000833
2017-10-22,6.4,20.6,14.0333333,65,100,87.5416667,9.64,17.98,14.1225,1.1,1.625,188.7,94.55,171.912917
2017-10-23,10.1,21.9,16.3458333,47,100,87.2916667,10.64,20.19,16.3241667,1.6125,101.5,179.3,93.4041667,166.525417
2017-10-24,2.6,16.8,8.91666667,29,100,77.3333333,5.44,11.71,8.25791667,1.2625,212.791667,394.3,93.3416667,344.597917
2017-10-25,0.1,12.9,4.87083333,43,100,82.375,6.09,8.96,6.85,1.06666667,220.5,291.7,93.3,257.1175
2017-10-26,-1.7,19.8,6.41666667,24,100,79.2083333,5.3,10.02,7.08375,0.908333333,251.958333,396.5,93.5666667,346.05875
2017-10-27,0.3,21.4,9.78333333,29,100,77.0833333,6.36,13.42,8.8325,1.18333333,235.25,389.3,93.7958333,342.48125
2017-10-28,7.2,14.5,11.9875,55,100,89.6666667,8.97,14.06,12.4754167,1.425,164.125,55.1,93.1208333,59.2466667
2017-10-29,0.7,7.4,3.44166667,52,100,79,4.29,10.16,6.25708333,2.125,196.5,253,92.6833333,222.293333
2017-10-30,-2.1,17.7,5.53333333,24,100,66.6666667,3.27,9.13,5.68666667,1.32916667,167.708333,380.7,93.4458333,338.577917
2017-10-31,-0.2,21.9,7.89583333,30,100,83,6.11,11.99,8.47,0.875,1.41666667,370.7,94.0375,329.682917
2017-11-01,3.3,19.6,10.0791667,44,100,84.9583333,7.79,13.55,10.2708333,0.979166667,127.083333,236.4,94.1791667,219.38625
2017-11-02,8.3,23.3,13.8208333,41,100,82.6666667,10.83,15.47,12.4954167,0.979166667,232.541667,255.6,94.375,234.786667
2017-11-03,8.9,25.1,15.2541667,48,100,86.5833333,11.41,19.44,14.7458333,0.895833333,219.333333,233,94.2583333,215.055833
2017-11-04,10.2,23.4,15.9375,56,100,88.875,12.48,18.71,15.9245833,0.85,223.958333,160.6,94.1291667,154.61
2017-11-05,13.3,23.2,17.2625,58,100,87.5833333,14.87,18.55,17.0508333,1.42916667,245.625,297.8,94.0958333,278.398333
2017-11-06,11.9,21.8,16.5,68,100,91.9166667,13.99,21.33,17.155,0.858333333,233,103.5,93.9583333,99.4366667
2017-11-07,11,17.9,14.1333333,88,100,99.25,13.21,19.39,16.1208333,0.695833333,55.4166667,40.7,93.7875,44.4079167
2017-11-08,9,15.8,12.45,76,100,93.5833333,10.61,16.27,13.5841667,1.12916667,1.5,122.2,93.7958333,119.452083
2017-11-09,3,14.8,9.54166667,69,100,93.5,7.53,13.87,11.1345833,0.8375,1.45833333,114.7,93.925,110.19875
2017-11-10,0.1,17.5,6.0375,22,100,81.4166667,4.3,9.72,7.09458333,0.895833333,1.625,330.8,94.3166667,293.6225
2017-11-11,-0.4,12.6,6.0625,44,99,78.7083333,5.67,8.96,7.23625,1.60833333,1.29166667,290.5,94.7791667,259.513333
2017-11-12,4.5,10,7.07916667,83,100,93.6666667,7.06,11.87,9.56083333,0.766666667,1.16666667,71.9,94.6791667,71.90875
2017-11-13,4.2,18.1,9.07083333,34,100,86.1666667,6.81,12.26,9.575,0.966666667,1.375,327.4,94.4958333,292.583333
2017-11-14,0.2,15,5.9625,53,100,88.2916667,6.28,10.26,8.10416667,0.983333333,1,286.5,94.3541667,258.4
2017-11-15,2.1,14.6,7.9875,50,100,83.375,7.16,10.21,8.71875,1.0125,1,301.1,94.0166667,267.00625
2017-11-16,1,19.8,8.64166667,14,100,75.0416667,3.21,10.33,7.66166667,1.19166667,1.20833333,313.2,93.9166667,273.46
