yyyy-mm-dd,TMIN,TMAX,TAVG,RHMIN,RHMAX,RHAVG,VPMIN,VPMAX,VPAVG,WIND,W_DIR,TOTALSOLAR,AVG_B_PRESS,PPFD
3/9/18,-5.3,13.2,3.3875,20,85,52.625,2.6,6.38,3.83166667,1.61666667,346.375,488.4,93.5958333,426.962917
3/10/18,-1,15.4,6.92083333,34,94,74.5833333,4.88,10.32,7.37625,1.225,340.333333,206.8,93.5375,195.555
3/11/18,5.7,12,8.37916667,73,97,90.2916667,8.64,12.15,9.92583333,1.025,335.166667,83.4,93.275,87.3454167
3/12/18,1.8,8.7,5.0875,29,99,70.7083333,2.79,9.43,6.24666667,2.19166667,329.625,399.1,93.0208333,359.425417
3/13/18,-1.1,10.2,3.6125,23,64,44.2083333,2.37,4.72,3.39458333,2.24166667,337.666667,526.1,93.5458333,452.985
3/14/18,-2.9,7,1.27916667,15,66,37.8333333,1.39,3.8,2.42958333,2.25833333,337.125,548.8,93.6,473.769583
3/15/18,-4.1,17.5,7.87916667,17,81,39.75,2.26,6.33,3.82041667,1.98333333,344.125,537.7,93.4625,468.267917
3/16/18,4.1,21.3,12.3833333,22,90,47.0833333,3.98,8.87,6.28208333,1.54583333,346,436.6,93.5916667,389.110833
3/17/18,4.5,22.8,13.3583333,28,99,71.25,7.13,14.95,10.2879167,1.66666667,330.541667,451.9,93.3583333,406.105833
3/18/18,6.6,22.6,14.8166667,19,95,57.8333333,4.77,13.96,9.12666667,1.6375,339.5,484.3,93.2333333,433.066667
3/19/18,9.7,16.5,13,51,99,81.0416667,8.95,14.45,12.0375,1.35,335.75,220.4,92.8375,209.924583
3/20/18,4.3,18.9,10.3125,41,100,80.625,5.93,14.45,9.93791667,1.48333333,237.458333,270.1,92.2041667,246.275417
3/21/18,0,4.3,1.22916667,53,85,65.625,3.84,6.54,4.38125,2.42083333,106.125,228.5,92.975,209.620833
3/22/18,-0.6,9.8,3.575,26,71,48.5416667,2.69,4.76,3.71083333,2.65416667,134.958333,565.4,94.0958333,489.56375
3/23/18,-2.9,13.6,5.52916667,21,90,57.7916667,2.94,7.67,4.93708333,1.38333333,12.0416667,353.2,94.2541667,318.032083
3/24/18,4.9,11.2,7.14166667,42,97,75.125,5.07,9.34,7.42,1.38333333,11.625,167.8,93.7916667,164.78125
3/25/18,4.2,10,6.5375,63,99,87,6.11,9.32,8.39333333,1.6875,8.5,248.2,93.8875,233.051667
3/26/18,3,9.8,6.4,30,95,52.5,3.56,8.09,4.92458333,1.72916667,13.4583333,221.2,94.9041667,210.120833
3/27/18,4.5,11,7.30833333,60,98,82.8333333,5.66,10.98,8.5475,1.02083333,11.3333333,109.6,94.7333333,112.459583
3/28/18,5.3,22.6,14.0791667,44,99,78.1666667,8.71,14.08,12.1375,1.48333333,192.583333,341.7,94.0125,319.088333
3/29/18,10.4,21.3,15.9125,48,99,75.1666667,10.69,15.9,13.30125,1.78333333,336.166667,300.3,93.5958333,277.701667
3/30/18,4.6,17,12.3458333,31,99,65.0416667,5.7,15.36,9.19416667,1.80833333,338.625,426.1,93.8083333,378.194167
3/31/18,-1.2,18.4,8.425,21,100,61.5416667,3.89,7.76,5.92583333,1.45,337.791667,611.1,94.4,512.110417
4/1/18,0.7,23.8,12.0625,20,99,60.4166667,5.92,10.2,7.34958333,1.25,337.25,519.3,93.9833333,468.014167
4/2/18,7.3,26.4,15.9875,22,89,55.6666667,6.63,10.82,8.99666667,1.52083333,340.041667,492.2,93.6125,440.97
4/3/18,6.2,24.1,16.0208333,32,93,68.0416667,8.61,15.04,12.0058333,1.65416667,339.25,404.9,93.55,369.062083
4/4/18,4.1,19.8,12.6083333,12,94,45.125,1.96,16.99,7.17458333,2.24166667,141.291667,491.7,93.5416667,418.024167
