sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,analysis.lab,convert.concentration.ugl
nutrients,DON,14,9,2017,9/14/17,towr,flume,69.63,CAIS,69.63
nutrients,NH4,14,9,2017,9/14/17,towr,flume,9.67,CAIS,9.67
nutrients,NO3,14,9,2017,9/14/17,towr,flume,1.48,CAIS,1.48
nutrients,SRP,14,9,2017,9/14/17,towr,flume,0.8,CAIS,0.8
nutrients,DON,20,11,2017,11/20/17,towr,flume,49.03,CAIS,49.03
nutrients,DON,20,11,2017,11/20/17,ws55,flume,125.91,CAIS,125.91
nutrients,DON,20,11,2017,11/20/17,towr,seep,50.29,CAIS,50.29
nutrients,DON,20,11,2017,11/20/17,ws55,seep,62.75,CAIS,62.75
nutrients,NH4,20,11,2017,11/20/17,towr,flume,5.44,CAIS,5.44
nutrients,NH4,20,11,2017,11/20/17,ws55,flume,7.03,CAIS,7.03
nutrients,NH4,20,11,2017,11/20/17,towr,seep,2.27,CAIS,2.27
nutrients,NH4,20,11,2017,11/20/17,ws55,seep,4.07,CAIS,4.07
nutrients,NO3,20,11,2017,11/20/17,towr,flume,1.44,CAIS,1.44
nutrients,NO3,20,11,2017,11/20/17,ws55,flume,2.69,CAIS,2.69
nutrients,NO3,20,11,2017,11/20/17,towr,seep,6.85,CAIS,6.85
nutrients,NO3,20,11,2017,11/20/17,ws55,seep,1.83,CAIS,1.83
nutrients,SRP,20,11,2017,11/20/17,towr,flume,4,CAIS,4
nutrients,SRP,20,11,2017,11/20/17,ws55,flume,4.8,CAIS,4.8
nutrients,SRP,20,11,2017,11/20/17,towr,seep,2,CAIS,2
nutrients,SRP,20,11,2017,11/20/17,ws55,seep,2.3,CAIS,2.3
nutrients,DON,18,12,2017,12/18/17,ws55,flume,89.55,CAIS,89.55
nutrients,DON,18,12,2017,12/18/17,ws55,seep,61.16,CAIS,61.16
nutrients,DON,18,12,2017,12/18/17,towr,flume,170.88,CAIS,170.88
nutrients,NH4,18,12,2017,12/18/17,ws55,flume,3.83,CAIS,3.83
