"","stream","start_date","end_date","mean_temp","sd_temp","deployment","days_in_record"
"1","CWCR",2018-08-31,2018-11-02,15.9583032946509,2.88521009044168,1,64
"2","CWCR",2018-09-28,2018-12-05,11.8434128024603,3.66921603456815,2,69
"3","CWCR",2018-11-02,2019-01-07,8.69496095070149,1.94310055280378,3,67
"4","CWCR",2018-12-05,2019-02-06,7.56460110159668,1.7625573297637,4,64
"5","CWCR",2019-01-07,2019-03-06,8.09221892655367,1.94798171314375,5,59
"6","CWCR",2019-02-06,2019-04-03,9.28973227339181,1.39317167533106,6,57
"7","CWCR",2019-03-06,2019-05-08,11.2783774414062,2.35969739904984,7,64
"8","CWCR",2019-04-03,2019-06-05,13.9308454050164,1.76912035344182,8,64
"9","CWCR",2019-05-08,2019-07-10,16.0679966094435,1.42705226408085,9,64
"10","CWCR",2019-06-05,2019-08-07,17.2770628529331,1.11776075641174,10,64
"11","CWCR",2019-07-10,2019-08-30,18.114276614011,0.694402474474406,11,52
"12","HNCR",2018-08-31,2018-11-02,15.6151687282986,3.05089292732104,1,64
"13","HNCR",2018-09-28,2018-12-05,11.3039956723027,3.8154590562736,2,69
"14","HNCR",2018-11-02,2019-01-07,8.1170447761194,1.99861337681006,3,67
"15","HNCR",2018-12-05,2019-02-06,6.88102094184028,1.86803572330058,4,64
"16","HNCR",2019-01-07,2019-03-06,7.34029072504708,2.08765250320116,5,59
"17","HNCR",2019-02-06,2019-04-03,8.52705080409357,1.51306383489658,6,57
"18","HNCR",2019-03-06,2019-05-08,10.5630728574811,2.55972211985315,7,64
"19","HNCR",2019-04-03,2019-06-05,13.462539762863,1.96367383124327,8,64
"20","HNCR",2019-05-08,2019-07-10,15.7758997395833,1.50938724357681,9,64
"21","HNCR",2019-06-05,2019-08-07,17.0192170138889,1.18511851143026,10,64
"22","HNCR",2019-07-10,2019-08-30,17.9182783553252,0.743611147114233,11,52
"23","LCCR",2018-08-31,2018-11-02,15.0503982954974,2.54843191297753,1,64
"24","LCCR",2018-09-28,2018-12-05,11.5559492801757,3.07965419869875,2,69
"25","LCCR",2018-11-02,2019-01-07,9.09985111399524,1.6691593391645,3,67
"26","LCCR",2018-12-05,2019-02-06,8.3141127638432,1.50801023845741,4,64
"27","LCCR",2019-01-07,2019-03-06,8.78119276501635,1.60274383007552,5,59
"28","LCCR",2019-02-06,2019-04-03,9.69793947753155,1.14524705732637,6,57
"29","LCCR",2019-03-06,2019-05-08,11.2667900390625,1.9256412741688,7,64
"30","LCCR",2019-04-03,2019-06-05,13.4834399414062,1.51181597931545,8,64
"31","LCCR",2019-05-08,2019-07-10,15.3517386067708,1.19742267527398,9,64
"32","LCCR",2019-06-05,2019-08-07,16.3637127278646,0.910071389198713,10,64
"33","LCCR",2019-07-10,2019-08-30,17.0682106643357,0.578146938503756,11,52
"34","TOWR",2018-08-31,2018-11-02,15.5563592122396,2.14184801991106,1,64
"35","TOWR",2018-09-28,2018-12-05,12.1349198369565,3.0403081590795,2,69
"36","TOWR",2018-11-02,2019-01-07,9.21016868781095,1.53194017749711,3,67
"37","TOWR",2018-12-05,2019-02-06,8.14601253255208,1.34626865701276,4,64
