"","stream","start_date","end_date","mean_flow","sd_flow","deployment","days_in_record"
"1","CWCR",2018-08-31,2018-11-02,377.970883982812,165.817536233795,1,64
"2","CWCR",2018-09-28,2018-12-05,558.851147356522,294.591959678197,2,69
"3","CWCR",2018-11-02,2019-01-07,1072.22996824328,734.184236787702,3,67
"4","CWCR",2018-12-05,2019-02-06,1287.26510765,681.473426472277,4,64
"5","CWCR",2019-01-07,2019-03-06,1499.55941993051,825.772966019828,5,59
"6","CWCR",2019-02-06,2019-04-03,1528.12265270175,845.531268545935,6,57
"7","CWCR",2019-03-06,2019-05-08,1246.78530821563,557.588117501409,7,64
"8","CWCR",2019-04-03,2019-06-05,1013.4330367875,606.360425481371,8,64
"9","CWCR",2019-05-08,2019-07-10,631.045992492187,306.30691840919,9,64
"10","CWCR",2019-06-05,2019-08-07,439.189445892188,268.372863727839,10,64
"11","CWCR",2019-07-10,2019-08-30,240.310122857692,58.7124305592965,11,52
"12","HNCR",2018-08-31,2018-11-02,58.776717419375,33.0491620814893,1,64
"13","HNCR",2018-09-28,2018-12-05,90.3750870356522,65.4069620925569,2,69
"14","HNCR",2018-11-02,2019-01-07,238.338259669851,335.587440201999,3,67
"15","HNCR",2018-12-05,2019-02-06,270.325694795312,334.309643948499,4,64
"16","HNCR",2019-01-07,2019-03-06,255.829940524576,223.731610681249,5,59
"17","HNCR",2019-02-06,2019-04-03,243.992542965088,229.849145862337,6,57
"18","HNCR",2019-03-06,2019-05-08,181.394184653437,140.896115732362,7,64
"19","HNCR",2019-04-03,2019-06-05,162.313093484844,145.558740825949,8,64
"20","HNCR",2019-05-08,2019-07-10,103.034001597031,52.8220141493006,9,64
"21","HNCR",2019-06-05,2019-08-07,76.8122369423437,42.3705398018508,10,64
"22","HNCR",2019-07-10,2019-08-30,46.1638326484615,11.4049462268382,11,52
"23","LCCR",2018-08-31,2018-11-02,81.221912795625,14.4785538180727,1,64
"24","LCCR",2018-09-28,2018-12-05,94.8552016607246,25.3045837925494,2,69
"25","LCCR",2018-11-02,2019-01-07,136.479561928358,44.5003119086712,3,67
"26","LCCR",2018-12-05,2019-02-06,158.786623220312,36.5558421740491,4,64
"27","LCCR",2019-01-07,2019-03-06,159.719717684746,27.8823085240476,5,59
"28","LCCR",2019-02-06,2019-04-03,143.426928161404,38.4939459094563,6,57
"29","LCCR",2019-03-06,2019-05-08,128.046820681094,52.9467703312022,7,64
"30","LCCR",2019-04-03,2019-06-05,105.841872190781,59.3971348227475,8,64
"31","LCCR",2019-05-08,2019-07-10,66.33119407,30.0213550636639,9,64
"32","LCCR",2019-06-05,2019-08-07,45.9948945485937,25.280768137396,10,64
"33","LCCR",2019-07-10,2019-08-30,26.48510907,5.97806884445323,11,52
"34","TOWR",2018-08-31,2018-11-02,1.2870218851201,0.610498282134784,1,64
"35","TOWR",2018-09-28,2018-12-05,1.8344636979105,1.20871042618594,2,69
"36","TOWR",2018-11-02,2019-01-07,5.07578241246752,4.44628513272371,3,67
