bag_ID,stream,date_dep,date_coll,days_in_record,fungi_vial_mass.g,vial_cap_litter.g,dry_mass.g,ash_fraction,afdm_g,erg_per_sample_ug,erg_ext_date,days_in_storage,corr_factor,ext_eff,corr_erg_per_sample_ug,fb_per_sample_mg,erg_ug_per_gAFDM,fb_mg_per_gAFDM,erg_ratio_corr.uncorr
F0097,CWCR,8/31/18,11/2/18,63,6.6865,6.8664,0.1799,0.1,0.1619,29.3,2/16/19,106,1.03,0.9,33.53,6.1,207.08,37.65,1.14
F0098,CWCR,8/31/18,11/2/18,63,6.5402,6.5957,0.0555,0.1,0.05,22.04,2/16/19,106,1.03,0.9,25.22,4.58,504.85,91.79,1.14
F0099,CWCR,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0100,CWCR,8/31/18,11/2/18,63,6.4768,6.5973,0.1205,0.1,0.1085,23.14,2/16/19,106,1.03,0.9,26.48,4.81,244.17,44.39,1.14
F0101,WS09,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0102,WS09,8/31/18,11/2/18,63,6.6137,6.7218,0.1081,0.1,0.0973,25.36,2/16/19,106,1.03,0.9,29.02,5.28,298.24,54.22,1.14
F0103,WS09,8/31/18,11/2/18,63,6.6217,6.8015,0.1798,0.1,0.1618,26.68,2/16/19,106,1.03,0.9,30.53,5.55,188.67,34.3,1.14
F0104,WS09,8/31/18,11/2/18,63,6.4509,6.5898,0.1389,0.1,0.125,32.5,2/16/19,106,1.03,0.9,37.18,6.76,297.43,54.08,1.14
F0105,HNCR,8/31/18,11/2/18,63,6.5258,6.6598,0.134,0.1,0.1206,30.24,2/16/19,106,1.03,0.9,34.6,6.29,286.93,52.17,1.14
F0106,HNCR,8/31/18,11/2/18,63,6.4856,6.5758,0.0902,0.1,0.0812,12.74,2/23/19,113,1.03,0.9,14.61,2.66,179.94,32.72,1.15
F0107,HNCR,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0108,HNCR,8/31/18,11/2/18,63,6.3886,6.5093,0.1207,0.1,0.1086,17.45,2/23/19,113,1.03,0.9,20.01,3.64,184.2,33.49,1.15
F0109,WS55,8/31/18,11/2/18,63,6.4885,6.6811,0.1926,0.1,0.1733,20.37,2/23/19,113,1.03,0.9,23.35,4.25,134.72,24.49,1.15
F0110,WS55,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0111,WS55,8/31/18,11/2/18,63,6.4734,6.6598,0.1864,0.1,0.1678,6.62,2/23/19,113,1.03,0.9,7.59,1.38,45.23,8.22,1.15
F0112,WS55,8/31/18,11/2/18,63,6.6448,6.7566,0.1118,0.1,0.1006,6.76,2/23/19,113,1.03,0.9,7.75,1.41,76.98,14,1.15
F0113,TOWR,8/31/18,11/2/18,63,6.4801,6.8004,0.3203,0.1,0.2883,16.95,2/16/19,106,1.03,0.9,19.39,3.53,67.28,12.23,1.14
F0114,TOWR,8/31/18,11/2/18,63,6.6224,6.8906,0.2682,0.1,0.2414,24.34,2/16/19,106,1.03,0.9,27.85,5.06,115.39,20.98,1.14
F0115,TOWR,8/31/18,11/2/18,63,6.4958,6.6636,0.1678,0.1,0.151,13.39,2/16/19,106,1.03,0.9,15.32,2.79,101.43,18.44,1.14
F0116,TOWR,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0117,WS17,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0118,WS17,8/31/18,11/2/18,63,6.3775,6.462,0.0845,0.1,0.076,9.02,2/23/19,113,1.03,0.9,10.34,1.88,135.94,24.72,1.15
F0119,WS17,8/31/18,11/2/18,63,6.5297,6.6367,0.107,0.1,0.0963,12.21,2/23/19,113,1.03,0.9,14,2.54,145.33,26.42,1.15
F0120,WS17,8/31/18,11/2/18,63,6.4964,6.6634,0.167,0.1,0.1503,16,2/23/19,113,1.03,0.9,18.34,3.33,122.03,22.19,1.15
F0121,WS37,8/31/18,11/2/18,63,6.5667,6.7084,0.1417,0.1,0.1275,40.66,2/16/19,106,1.03,0.9,46.52,8.46,364.78,66.32,1.14
F0122,WS37,8/31/18,11/2/18,63,6.4836,6.6464,0.1628,0.1,0.1465,13.54,2/23/19,113,1.03,0.9,15.52,2.82,105.95,19.26,1.15
F0123,WS37,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0124,WS37,8/31/18,11/2/18,63,6.5419,6.6841,0.1422,0.1,0.128,36.69,2/16/19,106,1.03,0.9,41.98,7.63,327.99,59.63,1.14
F0125,WS34,8/31/18,11/2/18,63,6.5521,6.7375,0.1854,0.1,0.1669,13.73,2/23/19,113,1.03,0.9,15.74,2.86,94.31,17.15,1.15
F0126,WS34,8/31/18,11/2/18,63,6.4703,6.6336,0.1633,0.1,0.147,23.32,2/16/19,106,1.03,0.9,26.68,4.85,181.55,33.01,1.14
F0127,WS34,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0128,WS34,8/31/18,11/2/18,63,6.4665,6.572,0.1055,0.1,0.095,5.31,2/23/19,113,1.03,0.9,6.09,1.11,64.17,11.67,1.15
F0129,LCCR,8/31/18,11/2/18,63,6.5283,6.6656,0.1373,0.1,0.1236,16.24,2/23/19,113,1.03,0.9,18.62,3.39,150.69,27.4,1.15
F0130,LCCR,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0131,LCCR,8/31/18,11/2/18,63,6.5815,6.7279,0.1464,0.1,0.1318,8.26,2/23/19,113,1.03,0.9,9.47,1.72,71.89,13.07,1.15
F0132,LCCR,8/31/18,11/2/18,63,6.4998,6.6212,0.1214,0.1,0.1093,11.88,2/23/19,113,1.03,0.9,13.61,2.48,124.61,22.66,1.15
F0133,USHF,8/31/18,11/2/18,63,6.447,6.6095,0.1625,0.1,0.1463,28.29,2/23/19,113,1.03,0.9,32.44,5.9,221.79,40.33,1.15
F0134,USHF,8/31/18,11/2/18,63,6.5921,6.7044,0.1123,0.1,0.1011,23.35,2/23/19,113,1.03,0.9,26.77,4.87,264.84,48.15,1.15
F0135,USHF,8/31/18,11/2/18,63,NA,,,,,,,,,,,,,,
F0136,USHF,8/31/18,11/2/18,63,6.5102,6.6219,0.1117,0.1,0.1005,21.08,2/23/19,113,1.03,0.9,24.17,4.39,240.42,43.71,1.15
F0193,LCCR,9/28/18,12/5/18,68,8.3341,8.4885,0.1544,0.1,0.139,11.93,2/23/19,80,1.02,0.9,13.55,2.46,97.54,17.74,1.14
F0194,LCCR,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0195,LCCR,9/28/18,12/5/18,68,8.4115,8.485,0.0735,0.1,0.0661,9.21,2/23/19,80,1.02,0.9,10.47,1.9,158.23,28.77,1.14
F0196,LCCR,9/28/18,12/5/18,68,8.308,8.4819,0.1739,0.1,0.1565,16.23,2/23/19,80,1.02,0.9,18.44,3.35,117.79,21.42,1.14
F0197,WS55,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0198,WS55,9/28/18,12/5/18,68,8.3483,8.4454,0.0971,0.1,0.0874,6.37,2/23/19,80,1.02,0.9,7.23,1.32,82.78,15.05,1.14
F0199,WS55,9/28/18,12/5/18,68,8.2428,8.3243,0.0815,0.1,0.0733,3.24,3/14/19,99,1.03,0.9,3.7,0.67,50.48,9.18,1.14
F0200,WS55,9/28/18,12/5/18,68,8.3283,8.4107,0.0824,0.1,0.0742,3.09,3/14/19,99,1.03,0.9,3.53,0.64,47.58,8.65,1.14
F0201,WS37,9/28/18,12/5/18,68,8.1513,8.3127,0.1614,0.1,0.1453,17.29,3/14/19,99,1.03,0.9,19.74,3.59,135.91,24.71,1.14
F0202,WS37,9/28/18,12/5/18,68,8.3616,8.5407,0.1791,0.1,0.1612,23.21,3/14/19,99,1.03,0.9,26.5,4.82,164.41,29.89,1.14
F0203,WS37,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0204,WS37,9/28/18,12/5/18,68,8.3214,8.4999,0.1785,0.1,0.1607,16.49,3/14/19,99,1.03,0.9,18.83,3.42,117.19,21.31,1.14
F0205,USHF,9/28/18,12/5/18,68,8.252,8.324,0.072,0.1,0.0648,8.63,3/14/19,99,1.03,0.9,9.85,1.79,152.05,27.65,1.14
F0206,USHF,9/28/18,12/5/18,68,8.2067,8.344,0.1373,0.1,0.1236,14.32,3/14/19,99,1.03,0.9,16.35,2.97,132.35,24.06,1.14
F0207,USHF,9/28/18,12/5/18,68,8.2523,8.4196,0.1673,0.1,0.1506,10.25,3/14/19,99,1.03,0.9,11.7,2.13,77.72,14.13,1.14
F0208,USHF,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0209,WS34,9/28/18,12/5/18,68,8.1879,8.358,0.1701,0.1,0.1531,5.93,3/14/19,99,1.03,0.9,6.78,1.23,44.26,8.05,1.14
F0210,WS34,9/28/18,12/5/18,68,8.4042,8.6185,0.2143,0.1,0.1929,9.04,3/14/19,99,1.03,0.9,10.32,1.88,53.53,9.73,1.14
F0211,WS34,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0212,WS34,9/28/18,12/5/18,68,8.1091,8.2653,0.1562,0.1,0.1406,3.97,3/14/19,99,1.03,0.9,4.53,0.82,32.23,5.86,1.14
F0213,TOWR,9/28/18,12/5/18,68,8.2939,8.4295,0.1356,0.1,0.122,6.22,3/14/19,99,1.03,0.9,7.1,1.29,58.21,10.58,1.14
F0214,TOWR,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0215,TOWR,9/28/18,12/5/18,68,8.1377,8.2735,0.1358,0.1,0.1222,4.53,3/14/19,99,1.03,0.9,5.17,0.94,42.28,7.69,1.14
F0216,TOWR,9/28/18,12/5/18,68,8.2708,missing/ not received,,,,,,,,,,,,,
F0217,HNCR,9/28/18,12/5/18,68,8.4254,8.5641,0.1387,0.1,0.1248,7.31,3/14/19,99,1.03,0.9,8.35,1.52,66.87,12.16,1.14
F0218,HNCR,9/28/18,12/5/18,68,8.2627,8.3293,0.0666,0.1,0.0599,4.26,3/14/19,99,1.03,0.9,4.87,0.89,81.23,14.77,1.14
F0219,HNCR,9/28/18,12/5/18,68,8.302,8.4852,0.1832,0.1,0.1649,15.68,3/14/19,99,1.03,0.9,17.91,3.26,108.62,19.75,1.14
F0220,HNCR,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0221,WS17,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0222,WS17,9/28/18,12/5/18,68,8.3971,8.5216,0.1245,0.1,0.112,13.02,3/14/19,99,1.03,0.9,14.87,2.7,132.67,24.12,1.14
F0223,WS17,9/28/18,12/5/18,68,8.23,8.3046,0.0746,0.1,0.0671,6.96,3/14/19,99,1.03,0.9,7.94,1.44,118.33,21.51,1.14
F0224,WS17,9/28/18,12/5/18,68,8.3778,8.5525,0.1747,0.1,0.1572,20.01,3/14/19,99,1.03,0.9,22.85,4.15,145.33,26.42,1.14
F0225,WS09,9/28/18,12/5/18,68,8.3288,8.5023,0.1735,0.1,0.1562,8.46,3/14/19,99,1.03,0.9,9.66,1.76,61.89,11.25,1.14
F0226,WS09,9/28/18,12/5/18,68,8.43,8.5907,0.1607,0.1,0.1446,10.79,3/14/19,99,1.03,0.9,12.33,2.24,85.23,15.5,1.14
F0227,WS09,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0228,WS09,9/28/18,12/5/18,68,8.2089,8.3876,0.1787,0.1,0.1608,16.03,3/14/19,99,1.03,0.9,18.31,3.33,113.85,20.7,1.14
F0229,CWCR,9/28/18,12/5/18,68,NA,,,,,,,,,,,,,,
F0230,CWCR,9/28/18,12/5/18,68,8.312,8.4706,0.1586,0.1,0.1427,15.59,3/14/19,99,1.03,0.9,17.8,3.24,124.7,22.67,1.14
F0231,CWCR,9/28/18,12/5/18,68,8.2585,8.4311,0.1726,0.1,0.1553,16.02,3/14/19,99,1.03,0.9,18.29,3.33,117.75,21.41,1.14
F0232,CWCR,9/28/18,12/5/18,68,8.2074,8.4038,0.1964,0.1,0.1768,17.48,3/18/19,103,1.03,0.9,19.99,3.63,113.07,20.56,1.14
F0289,WS34,11/2/18,1/7/19,66,6.4344,6.5898,0.1554,0.1,0.1399,not extracted,,,,,,,,,
F0290,WS34,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0291,WS34,11/2/18,1/7/19,66,6.3943,6.5051,0.1108,0.1,0.0997,not extracted,,,,,,,,,
F0292,WS34,11/2/18,1/7/19,66,6.4616,6.571,0.1094,0.1,0.0985,4.61,5/28/19,141,1.04,0.9,5.33,0.97,54.14,9.84,1.16
F0293,WS09,11/2/18,1/7/19,66,6.3423,6.4716,0.1293,0.1,0.1164,6.25,3/26/19,78,1.02,0.9,7.09,1.29,60.96,11.08,1.14
F0294,WS09,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0295,WS09,11/2/18,1/7/19,66,6.46,6.594,0.134,0.1,0.1206,14.72,4/23/19,106,1.03,0.9,16.85,3.06,139.7,25.4,1.14
F0296,WS09,11/2/18,1/7/19,66,6.3627,6.5017,0.139,0.1,0.1251,not extracted,,,,,,,,,
F0297,WS55,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0298,WS55,11/2/18,1/7/19,66,6.3781,6.5552,0.1771,0.1,0.1594,not extracted,,,,,,,,,
F0299,WS55,11/2/18,1/7/19,66,6.3785,6.4725,0.094,0.1,0.0846,3.91,5/28/19,141,1.04,0.9,4.52,0.82,53.42,9.71,1.16
F0300,WS55,11/2/18,1/7/19,66,6.5023,6.6781,0.1758,0.1,0.1582,1.4,3/26/19,78,1.02,0.9,1.59,0.29,10.07,1.83,1.14
F0301,WS17,11/2/18,1/7/19,66,6.0931,missing/ not received,,,,,,,,,,,,,
F0302,WS17,11/2/18,1/7/19,66,6.3305,6.4962,0.1657,0.1,0.1491,17.89,5/28/19,141,1.04,0.9,20.67,3.76,138.6,25.2,1.16
F0303,WS17,11/2/18,1/7/19,66,6.3844,6.483,0.0986,0.1,0.0887,14.61,5/28/19,141,1.04,0.9,16.89,3.07,190.27,34.6,1.16
F0304,WS17,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0305,USHF,11/2/18,1/7/19,66,6.4828,6.6229,0.1401,0.1,0.1261,14.36,5/28/19,141,1.04,0.9,16.59,3.02,131.56,23.92,1.16
F0306,USHF,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0307,USHF,11/2/18,1/7/19,66,6.4075,missing/ not received,,,,,,,,,,,,,
F0308,USHF,11/2/18,1/7/19,66,6.3791,missing/ not received,,,,,,,,,,,,,
F0309,HNCR,11/2/18,1/7/19,66,6.3955,6.5857,0.1902,0.1,0.1712,3.68,3/26/19,78,1.02,0.9,4.18,0.76,24.39,4.43,1.14
F0310,HNCR,11/2/18,1/7/19,66,6.3747,6.5161,0.1414,0.1,0.1273,3.06,3/26/19,78,1.02,0.9,3.48,0.63,27.31,4.97,1.14
F0311,HNCR,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0312,HNCR,11/2/18,1/7/19,66,6.4076,6.5139,0.1063,0.1,0.0957,10.54,5/28/19,141,1.04,0.9,12.18,2.21,127.32,23.15,1.16
F0313,WS37,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0314,WS37,11/2/18,1/7/19,66,6.4343,6.5619,0.1276,0.1,0.1148,not extracted,,,,,,,,,
F0315,WS37,11/2/18,1/7/19,66,6.4533,6.5943,0.141,0.1,0.1269,not extracted,,,,,,,,,
F0316,WS37,11/2/18,1/7/19,66,6.3614,6.4943,0.1329,0.1,0.1196,not extracted,,,,,,,,,
F0317,LCCR,11/2/18,1/7/19,66,NA,,,,,,,,,,,,,,
F0318,LCCR,11/2/18,1/7/19,66,6.3772,6.4973,0.1201,0.1,0.1081,9.91,5/28/19,141,1.04,0.9,11.45,2.08,105.92,19.26,1.16
F0319,LCCR,11/2/18,1/7/19,66,6.3885,6.4853,0.0968,0.1,0.0871,2.78,3/26/19,78,1.02,0.9,3.16,0.57,36.27,6.59,1.14
F0320,LCCR,11/2/18,1/7/19,66,6.3705,6.4713,0.1008,0.1,0.0907,6.02,5/28/19,141,1.04,0.9,6.95,1.26,76.63,13.93,1.16
F0321,CWCR,11/2/18,1/7/19,66,6.2885,6.4566,0.1681,0.1,0.1513,15.15,5/22/19,135,1.04,0.9,17.47,3.18,115.5,21,1.15
F0322,CWCR,11/2/18,1/7/19,66,6.4187,missing/ not received,,,,,,,,,,,,,
