bag_ID,rhodo_acer,DM_start_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0097,R,1.49,3.6181,4.4843,3.6807,8/31/18,11/2/18,CWCR,,,don't forget about fungi sample wts!
F0098,R,1.52,3.5338,4.4291,3.608,8/31/18,11/2/18,CWCR,,,
F0099,R,1.57,3.521,4.6372,3.603,8/31/18,11/2/18,CWCR,,,
F0100,R,1.44,3.5238,4.4181,3.5877,8/31/18,11/2/18,CWCR,,,
F0101,R,1.48,3.6613,4.7947,3.7393,8/31/18,11/2/18,WS09,,,
F0102,R,1.45,3.5735,4.4979,3.6332,8/31/18,11/2/18,WS09,,,
F0103,R,1.51,3.5242,4.4956,3.598,8/31/18,11/2/18,WS09,,,
F0104,R,1.5,3.5334,4.3736,3.5951,8/31/18,11/2/18,WS09,,,
F0105,R,1.59,3.6301,4.7274,3.6959,8/31/18,11/2/18,HNCR,,,
F0106,R,1.45,3.5233,4.5208,3.6026,8/31/18,11/2/18,HNCR,,,
F0107,R,1.58,3.5269,4.7027,3.6152,8/31/18,11/2/18,HNCR,,,
F0108,R,1.59,3.5401,4.6384,3.6135,8/31/18,11/2/18,HNCR,,,
F0109,R,1.4,3.6319,4.523,3.6914,8/31/18,11/2/18,WS55,,,
F0110,R,1.54,3.5263,4.7152,3.6237,8/31/18,11/2/18,WS55,,,
F0111,R,1.55,3.5307,4.5463,3.5884,8/31/18,11/2/18,WS55,,,
F0112,R,1.43,3.5304,4.5442,3.5888,8/31/18,11/2/18,WS55,,,
F0113,R,1.43,3.6475,4.6061,3.7026,8/31/18,11/2/18,TOWR,,,
F0114,R,1.55,3.6435,4.6399,3.7037,8/31/18,11/2/18,TOWR,,,
F0115,R,1.55,3.5422,4.6696,3.613,8/31/18,11/2/18,TOWR,,,
F0116,R,1.49,3.5265,4.7198,3.6044,8/31/18,11/2/18,TOWR,,,
F0117,R,1.48,3.518,4.6452,3.5957,8/31/18,11/2/18,WS17,,,
F0118,R,1.45,3.5451,4.4355,3.6034,8/31/18,11/2/18,WS17,,,
F0119,R,1.51,3.6313,4.638,3.7006,8/31/18,11/2/18,WS17,,,
F0120,R,1.49,3.5271,4.4561,3.5817,8/31/18,11/2/18,WS17,,,
F0121,R,1.53,3.5178,4.454,3.573,8/31/18,11/2/18,WS37,,,
F0122,R,1.58,3.5505,4.5839,3.6246,8/31/18,11/2/18,WS37,,,
F0123,R,1.59,3.6241,4.782,3.7051,8/31/18,11/2/18,WS37,,,
F0124,R,1.53,3.5337,4.4988,3.5952,8/31/18,11/2/18,WS37,,,
F0125,R,1.44,3.6192,4.584,3.6814,8/31/18,11/2/18,WS34,,,
F0126,R,1.5,3.5167,4.5173,3.5737,8/31/18,11/2/18,WS34,,,
F0127,R,1.4,3.6361,4.7614,3.7045,8/31/18,11/2/18,WS34,,,
