,sample.type,sample.day,sample.mo,sample.yr,sample.date,stream,core.number,om.category,total.wet.wt.g,sub.wet.wt.g,prop.sub,sub.sample.dry.weight.g.,total.dry.wt.g,tin.wt.g,sub.dry.tin.wt.g,sub.ash.tin.wt.g,month_year,sub.prop.total,sub.prop.afdm,total.afdm.g,cbom.afdm.g.m2
1,CBOM,25,1,2018,1/25/20,WS02,1,LEAF,NA,NA,NA,NA,29.8584,8.1737,38.0321,9.6943,2020-01,1,0.949072958,28.3378,745.4712308
2,CBOM,25,1,2018,1/25/20,WS02,1,MISC,NA,NA,NA,NA,0,0,0,0,2020-01,0,0,0,0
3,CBOM,25,1,2018,1/25/20,WS02,1,WOOD,NA,NA,NA,NA,4.6507,3.6274,8.2781,3.8665,2020-01,1,0.948588385,4.4116,116.0542061
4,CBOM,25,1,2018,1/25/20,WS02,2,LEAF,NA,NA,NA,NA,7.4642,8.2943,15.7585,9.2234,2020-01,1,0.875525843,6.5351,171.9162758
5,CBOM,25,1,2018,1/25/20,WS02,2,MISC,NA,NA,NA,NA,0.095,2.0805,2.1755,2.085,2020-01,1,0.952631579,0.0905,2.380747496
6,CBOM,25,1,2018,1/25/20,WS02,2,WOOD,NA,NA,NA,NA,1.0276,1.7396,2.7672,1.7789,2020-01,1,0.961755547,0.9883,25.99881492
7,CBOM,25,1,2018,1/25/20,WS02,3,LEAF,NA,NA,NA,NA,7.629,8.2213,15.8503,9.0555,2020-01,1,0.890654083,6.7948,178.7481004
8,CBOM,25,1,2018,1/25/20,WS02,3,MISC,NA,NA,NA,NA,0.3742,1.7529,2.1271,1.7733,2020-01,1,0.945483699,0.3538,9.307275846
9,CBOM,25,1,2018,1/25/20,WS02,3,WOOD,NA,NA,NA,NA,1.4263,3.6459,5.0722,3.6928,2020-01,1,0.967117717,1.3794,36.28732702
10,CBOM,25,1,2018,1/25/20,WS02,4,LEAF,NA,NA,NA,NA,14.4373,8.2531,22.6904,9.7118,2020-01,1,0.898963103,12.9786,341.4228668
