Boat_ID,Boat wt (g),Stream,Core,Sample_Date,OM_Type,Sorting Date,Dry_Mass,Ashed,Period,NOTES
SR 4-1,1.6511,TOWR,2,5/14/18,MOSS,5/29/18,NA,NA,1,NONE
SR 5-2,1.6496,TOWR,2,5/14/18,WOOD,5/29/18,4.6435,1.7673,1,
SR 3-1,1.661,TOWR,2,5/14/18,LEAF,5/29/18,2.0871,1.6816,1,
SR 3-2,1.6595,TOWR,2,5/14/18,FLWR,5/29/18,NA,NA,1,NONE
SR 2-2,1.6555,TOWR,2,5/14/18,MISC,5/29/18,8.3637,7.4681,1,
A71,1.8092,TOWR,2,5/14/18,ROOT,5/29/18,2.3911,1.8319,1,
B01,6.6267,WS55,5,5/14/18,LEAF,5/30/18,10.9296,6.8734,1,
T03,6.5821,WS55,5,5/14/18,WOOD,5/30/18,10.8309,6.7465,1,
SR 1-2 ,1.6693,WS55,5,5/14/18,MOSS,5/30/18,NA,NA,1,NONE
A21,1.8221,WS55,5,5/14/18,MISC,5/30/18,9.7372,7.8955,1,
BM 4-2,1.6481,WS55,5,5/14/18,FLWR,5/30/18,3.3124,1.7746,1,
TS 2-2,1.6481,WS55,5,5/14/18,ROOT,5/30/18,1.856,1.6541,1,
E 66.6,13.834,TOWR,3,5/14/18,WOOD,5/30/18,43.58,14.445,1,
JE 1-2,1.749,TOWR,3,5/14/18,MOSS,5/30/18,NA,NA,1,NONE
TS 5-2,1.752,TOWR,3,5/14/18,FLWR,5/30/18,3.6731,1.849,1,
4SSJ,1.6469,TOWR,3,5/14/18,MISC,5/30/18,3.9584,2.2783,1,
54ST,1.6473,TOWR,3,5/14/18,ROOT,5/30/18,2.5078,1.7343,1,
JE 2-1,1.7493,TOWR,3,5/14/18,LEAF,5/30/18,2.126,1.7631,1,
F07,6.6258,TOWR,1,5/14/18,WOOD,5/30/18,8.1449,6.73,1,
A07,6.6071,TOWR,1,5/14/18,ROOT,5/30/18,13.6775,6.893,1,
61SJ,1.6487,TOWR,1,5/14/18,FLWR,5/30/18,1.7215,1.6486,1,
A12,1.8123,TOWR,1,5/14/18,LEAF,5/30/18,2.5518,1.8424,1,
JE 1-1,1.7559,TOWR,1,5/14/18,MOSS,5/30/18,NA,NA,1,NO MOSS
A65,1.8122,TOWR,1,5/14/18,MISC,5/30/18,32.8301,29.9575,1,
64SJ,1.6603,WS55,4,5/14/18,MOSS,5/30/18,1.6607,1.6591,1,
A93,1.7949,WS55,4,5/14/18,WOOD,5/30/18,10.9155,2.094,1,
36SJ,1.6465,WS55,4,5/14/18,LEAF,5/30/18,1.9212,1.661,1,
A58,1.7589,WS55,4,5/14/18,ROOT,5/30/18,2.4334,1.8423,1,
9SJ,1.6577,WS55,4,5/14/18,FLWR,5/30/18,1.7865,1.6588,1,
A44,1.8224,WS55,4,5/14/18,MISC,5/30/18,4.854,2.543,1,
F01,6.6036,TOWR,5,5/14/18,ROOT,6/5/18,11.52,6.8036,1,
C10,6.6494,TOWR,5,5/14/18,WOOD,6/5/18,22.57,7.125,1,
A06,1.8134,TOWR,5,5/14/18,MISC,6/5/18,22.8634,14.4391,1,
B48,3.8543,TOWR,5,5/14/18,LEAF,6/5/18,7.8509,4.0537,1,
Q5,1.7265,TOWR,5,5/14/18,FLWR,6/5/18,NA,NA,1,NONE
B5,1.6939,TOWR,5,5/14/18,MOSS,6/5/18,NA,NA,1,NONE
E56,13.81,WS55,2,5/14/18,LEAF,6/3/18,29.8012,15.2046,1,
E57,13.684,WS55,2,5/14/18,WOOD,6/3/18,23.45,14.048,1,
B68,3.6401,WS55,2,5/14/18,FLWR,6/3/18,10.8429,4.8823,1,
B66,3.6772,WS55,2,5/14/18,ROOT,6/3/18,3.7752,3.7112,1,
B77,3.6124,WS55,2,5/14/18,MOSS,6/3/18,3.6659,3.6471,1,
