"","stage","order","family","genus"
"1","larva","Diptera","Chironomidae","non_tany"
"5","larva","Trichoptera","Hydropsychidae","unk"
"12","larva","Plecoptera","Perlidae","unk"
"14","larva","Plecoptera","Leuctridae","Leuctra"
"15","larva","Plecoptera","Perlodidae","unk"
"16","larva","Plecoptera","Peltoperlidae","Tallaperla"
"20","larva","Plecoptera","Nemouridae","Amphinemura"
"21","larva","Ephemeroptera","Baetidae","unk"
"22","unk","Oligochaeta","unk","unk"
"28","larva","Diptera","Simuliidae","unk"
"31","larva","Diptera","Chironomidae","tany"
"48","pupa","unk","unk","unk"
"57","larva","Ephemeroptera","Heptageniidae","unk"
"65","larva","Trichoptera","Lepidostomatidae","Lepidostoma"
"67","larva","Trichoptera","Philopotamidae","unk"
"68","larva","Trichoptera","Polycentropodidae","unk"
"91","larva","Diptera","Limoniidae","Hexatoma"
"104","larva","Ephemeroptera","Leptophlebiidae","unk"
"106","larva","Ephemeroptera","Ephemerellidae","unk"
"118","larva","Coleoptera","Ptilodactylidae","Anchytarsus"
"128","larva","Diptera","Ceratopogonidae","unk"
"130","larva","Diptera","Pediciidae","Dicranota"
"137","larva","Trichoptera","Rhyacophilidae","Rhyacophila"
"148","larva","Ephemeroptera","unk","unk"
"150","larva","Coleoptera","Elmidae","unk"
"184","larva","Trichoptera","Limnephilidae","Pycnopsyche"
"187","larva","Trichoptera","Rhyacophilidae","unk"
"189","unk","Collembola","unk","unk"
"190","unk","Amphipoda","unk","unk"
"220","larva","Megaloptera","Corydalidae","unk"
"223","larva","Plecoptera","Nemouridae","Soyedina"
"235","larva","Odonata","Gomphidae","unk"
"238","larva","Odonata","Cordulegastridae","unk"
"265","larva","Plecoptera","unk","unk"
"287","larva","Diptera","Tipulidae","Tipula"
"312","larva","Trichoptera","Odontoceridae","Psilotreta"
"317","larva","Diptera","Dixidae","unk"
"319","larva","Coleoptera","Carabidae","unk"
"336","larva","Diptera","Empididae","unk"
"448","larva","Plecoptera","Peltoperlidae","Viehoperla"
"479","larva","Trichoptera","Leptoceridae","Oecetis"
"505","larva","Ephemeroptera","Ephemeridae","Ephemera"
"506","larva","Ephemeroptera","Leptophlebiidae","Habrophlebia"
"514","larva","Trichoptera","Brachycentridae","Brachycentrus"
"538","larva","Coleoptera","Psephenidae","unk"
"582","larva","Trichoptera","Sericostomatidae","Fattigia"
"585","larva","Plecoptera","Chloroperlidae","unk"
"649","larva","Plecoptera","Pteronarcyidae","Pteronarcys"
"685","larva","Ephemeroptera","Ephemeridae","unk"
"761","adult","Coleoptera","Elmidae","unk"
"762","adult","Plecoptera","Peltoperlidae","Tallaperla"
"781","larva","Trichoptera","unk","unk"
"786","unk","Odonata","Cordulegastridae","unk"
"811","larva","Diptera","Athericidae","Atherix"
"853","larva","Diptera","unk","unk"
"881","larva","Diptera","Psychodidae","unk"
"992","larva","Plecoptera","Capniidae","Paracapnia"
"1043","larva","Diptera","Limoniidae","Pseudolimnophila"
"1067","larva","Plecoptera","Taeniopterygidae","Taeniopteryx"
"1178","larva","Ephemeroptera","Ameletidae","Ameletus"
"1180","larva","unk","unk","unk"
"1294","larva","Diptera","Dixidae","Dixa"
"1355","unk","Crayfish","unk","unk"
"1373","adult","Coleoptera","Hydrochidae","Hydrochus"
"1441","larva","Trichoptera","Brachycentridae","unk"
"1534","larva","Diptera","Chironomidae","unk"
"1541","larva","Plecoptera","Perlodidae","Isoperla"
"1543","larva","Ephemeroptera","Ephemerellidae","Ephemerella"
"1546","larva","Trichoptera","Hydropsychidae","Parapsyche"
"1547","larva","Trichoptera","Philopotamidae","Wormaldia"
"1552","larva","Ephemeroptera","Ephemerellidae","Serratella"
"1556","case","unk","unk","unk"
"1557","unk","unk","unk","unk"
"1576","larva","Trichoptera","Hydropsychidae","Diplectrona"
"1591","larva","Ephemeroptera","Heptageniidae","Stenonema"
"1603","larva","Diptera","Psychodidae","Pericomaini"
"1613","larva","Trichoptera","Psychomyiidae","Lype"
"1615","pupa","Trichoptera","unk","unk"
"1639","case","Diptera","unk","unk"
"1649","larva","Diptera","Cecidomyiidae","unk"
"1650","larva","Diptera","Sciaridae","Sciara"
"1651","adult","Coleoptera","Staphylinidae","unk"
"1664","case","Trichoptera","unk","unk"
"1666","larva","Odonata","Gomphidae","Ophiogomphus"
"1682","larva","Plecoptera","Perlodidae","Diploperla"
"1686","larva","Plecoptera","Chloroperlidae","Sweltsa"
"1696","larva","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"1709","larva","Ephemeroptera","Heptageniidae","Epeorus"
"1721","larva","Odonata","Gomphidae","Lanthus"
"1725","larva","Trichoptera","Polycentropodidae","Polycentropus"
"1739","larva","Ephemeroptera","Baetidae","Baetis"
"1766","larva","Odonata","unk","unk"
"1772","case","Diptera","Chironomidae","unk"
"1798","larva","Trichoptera","pupa","pupa"
"1799","larva","Coleoptera","Elmidae","Optioservus"
"1820","larva","Plecoptera","Perlodidae","Malirekus"
"1825","larva","Trichoptera","Limnephilidae","Hydatophylax"
"1833","larva","Diptera","Simuliidae","Prosimulium"
"1835","larva","Diptera","Simuliidae","Simulium"
"1868","larva","Trichoptera","Hydropsychidae","Hydropsyche"
"1887","larva","Plecoptera","Taeniopterygidae","Oemopteryx"
"1903","larva","Plecoptera","Chloroperlidae","Haploperla"
"2036","larva","Trichoptera","Psychomyiidae","unk"
"2081","adult","Coleoptera","Elmidae","Optioservus"
"2198","larva","Diptera","Athericidae","unk"
"2237","larva","Megaloptera","unk","unk"
"2267","adult","Coleoptera","unk","unk"
"2745","larva","Diptera","Limoniidae","unk"
