stage,order,family,genus,FFG
unk,Amphipoda,unk,unk,unk
larva,Coleoptera,Carabidae,unk,PR
larva,Coleoptera,Elmidae,Optioservus,CG
adult,Coleoptera,Elmidae,Optioservus,SC
larva,Coleoptera,Elmidae,unk,CG
adult,Coleoptera,Elmidae,unk,SC
adult,Coleoptera,Hydrochidae,Hydrochus,unk
larva,Coleoptera,Psephenidae,unk,SC
larva,Coleoptera,Ptilodactylidae,Anchytarsus,SH
adult,Coleoptera,Staphylinidae,unk,unk
adult,Coleoptera,unk,unk,unk
unk,Collembola,unk,unk,CG
unk,Crayfish,unk,unk,unk
larva,Diptera,Athericidae,Atherix,PR
larva,Diptera,Athericidae,unk,PR
larva,Diptera,Cecidomyiidae,unk,unk
larva,Diptera,Ceratopogonidae,unk,PR
larva,Diptera,Chironomidae,non_tany,CG
larva,Diptera,Chironomidae,tany,PR
larva,Diptera,Chironomidae,unk,unk
case,Diptera,Chironomidae,unk,unk
larva,Diptera,Dixidae,Dixa,CF
larva,Diptera,Dixidae,unk,CF
larva,Diptera,Empididae,unk,PR
larva,Diptera,Limoniidae,Hexatoma,PR
larva,Diptera,Limoniidae,Pseudolimnophila,PR
larva,Diptera,Limoniidae,unk,unk
larva,Diptera,Pediciidae,Dicranota,PR
larva,Diptera,Psychodidae,Pericomaini,CG
larva,Diptera,Psychodidae,unk,CG
larva,Diptera,Sciaridae,Sciara,unk
larva,Diptera,Simuliidae,Prosimulium,CF
larva,Diptera,Simuliidae,Simulium,CF
larva,Diptera,Simuliidae,unk,CF
larva,Diptera,Tipulidae,Tipula,SH
larva,Diptera,unk,unk,unk
case,Diptera,unk,unk,unk
larva,Ephemeroptera,Ameletidae,Ameletus,SC
larva,Ephemeroptera,Baetidae,Baetis,CG
larva,Ephemeroptera,Baetidae,unk,CG
larva,Ephemeroptera,Ephemerellidae,Ephemerella,CG
larva,Ephemeroptera,Ephemerellidae,Serratella,CG
larva,Ephemeroptera,Ephemerellidae,unk,CG
larva,Ephemeroptera,Ephemeridae,Ephemera,CG
larva,Ephemeroptera,Ephemeridae,unk,CG
larva,Ephemeroptera,Heptageniidae,Epeorus,SC
larva,Ephemeroptera,Heptageniidae,Stenonema,SC
larva,Ephemeroptera,Heptageniidae,unk,SC
larva,Ephemeroptera,Leptophlebiidae,Habrophlebia,CG
larva,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,CG
larva,Ephemeroptera,Leptophlebiidae,unk,CG
larva,Ephemeroptera,unk,unk,unk
larva,Megaloptera,Corydalidae,unk,PR
larva,Megaloptera,unk,unk,PR
larva,Odonata,Cordulegastridae,unk,PR
unk,Odonata,Cordulegastridae,unk,PR
larva,Odonata,Gomphidae,Lanthus,PR
larva,Odonata,Gomphidae,Ophiogomphus,PR
larva,Odonata,Gomphidae,unk,PR
larva,Odonata,unk,unk,PR
unk,Oligochaeta,unk,unk,unk
larva,Plecoptera,Capniidae,Paracapnia,SH
larva,Plecoptera,Chloroperlidae,Haploperla,PR
larva,Plecoptera,Chloroperlidae,Sweltsa,PR
larva,Plecoptera,Chloroperlidae,unk,PR
larva,Plecoptera,Leuctridae,Leuctra,SH
larva,Plecoptera,Nemouridae,Amphinemura,CG
larva,Plecoptera,Nemouridae,Soyedina,CG
larva,Plecoptera,Peltoperlidae,Tallaperla,SH
adult,Plecoptera,Peltoperlidae,Tallaperla,SH
larva,Plecoptera,Peltoperlidae,Viehoperla,SH
larva,Plecoptera,Perlidae,unk,PR
larva,Plecoptera,Perlodidae,Diploperla,PR
larva,Plecoptera,Perlodidae,Isoperla,PR
larva,Plecoptera,Perlodidae,Malirekus,PR
larva,Plecoptera,Perlodidae,unk,PR
larva,Plecoptera,Pteronarcyidae,Pteronarcys,SH
larva,Plecoptera,Taeniopterygidae,Oemopteryx,SH
larva,Plecoptera,Taeniopterygidae,Taeniopteryx,SH
larva,Plecoptera,unk,unk,unk
larva,Trichoptera,Brachycentridae,Brachycentrus,CF
larva,Trichoptera,Brachycentridae,unk,CF
larva,Trichoptera,Hydropsychidae,Diplectrona,CF
larva,Trichoptera,Hydropsychidae,Hydropsyche,CF
larva,Trichoptera,Hydropsychidae,Parapsyche,CF
larva,Trichoptera,Hydropsychidae,unk,CF
larva,Trichoptera,Lepidostomatidae,Lepidostoma,SH
larva,Trichoptera,Leptoceridae,Oecetis,PR
larva,Trichoptera,Limnephilidae,Hydatophylax,SH
larva,Trichoptera,Limnephilidae,Pycnopsyche,SH
larva,Trichoptera,Odontoceridae,Psilotreta,SH
larva,Trichoptera,Philopotamidae,unk,CF
larva,Trichoptera,Philopotamidae,Wormaldia,CF
larva,Trichoptera,Polycentropodidae,Polycentropus,CF
larva,Trichoptera,Polycentropodidae,unk,CF
larva,Trichoptera,Psychomyiidae,Lype,SC
larva,Trichoptera,Psychomyiidae,unk,SC
larva,Trichoptera,pupa,pupa,unk
larva,Trichoptera,Rhyacophilidae,Rhyacophila,PR
larva,Trichoptera,Rhyacophilidae,unk,PR
larva,Trichoptera,Sericostomatidae,Fattigia,SH
larva,Trichoptera,unk,unk,unk
pupa,Trichoptera,unk,unk,unk
case,Trichoptera,unk,unk,unk
pupa,unk,unk,unk,unk
larva,unk,unk,unk,unk
case,unk,unk,unk,unk
unk,unk,unk,unk,unk
