stage,order,family,genus,FFG
unk,Amphipoda,unk,unk,unk
larva,Coleoptera,Carabidae,unk,
larva,Coleoptera,Elmidae,Optioservus,CG
adult,Coleoptera,Elmidae,Optioservus,SC
larva,Coleoptera,Elmidae,unk,CG
adult,Coleoptera,Elmidae,unk,SC
adult,Coleoptera,Hydrochidae,Hydrochus,
larva,Coleoptera,Psephenidae,unk,SC
larva,Coleoptera,Ptilodactylidae,Anchytarsus,
adult,Coleoptera,Staphylinidae,unk,
adult,Coleoptera,unk,unk,unk
unk,Collembola,unk,unk,CG
unk,Crayfish,unk,unk,unk
larva,Diptera,Athericidae,Atherix,
larva,Diptera,Athericidae,unk,
larva,Diptera,Cecidomyiidae,unk,unk
larva,Diptera,Ceratopogonidae,unk,PR
larva,Diptera,Chironomidae,non_tany,CG
larva,Diptera,Chironomidae,tany,PR
larva,Diptera,Chironomidae,unk,unk
case,Diptera,Chironomidae,unk,unk
larva,Diptera,Dixidae,Dixa,CF
larva,Diptera,Dixidae,unk,CF
larva,Diptera,Empididae,unk,PR
larva,Diptera,Limoniidae,Hexatoma,PR
larva,Diptera,Limoniidae,Pseudolimnophila,PR
larva,Diptera,Limoniidae,unk,unk
larva,Diptera,Pediciidae,Dicranota,PR
larva,Diptera,Psychodidae,Pericomaini,
larva,Diptera,Psychodidae,unk,
larva,Diptera,Sciaridae,Sciara,
larva,Diptera,Simuliidae,Prosimulium,CF
larva,Diptera,Simuliidae,Simulium,CF
larva,Diptera,Simuliidae,unk,CF
larva,Diptera,Tipulidae,Tipula,SH
larva,Diptera,unk,unk,unk
case,Diptera,unk,unk,unk
larva,Ephemeroptera,Ameletidae,Ameletus,SC
larva,Ephemeroptera,Baetidae,Baetis,CG
larva,Ephemeroptera,Baetidae,unk,
larva,Ephemeroptera,Ephemerellidae,Ephemerella,
larva,Ephemeroptera,Ephemerellidae,Serratella,CG
larva,Ephemeroptera,Ephemerellidae,unk,
larva,Ephemeroptera,Ephemeridae,Ephemera,
larva,Ephemeroptera,Ephemeridae,unk,
larva,Ephemeroptera,Heptageniidae,Epeorus,SC
larva,Ephemeroptera,Heptageniidae,Stenonema,SC
larva,Ephemeroptera,Heptageniidae,unk,
larva,Ephemeroptera,Leptophlebiidae,Habrophlebia,CG
larva,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,CG
larva,Ephemeroptera,Leptophlebiidae,unk,
larva,Ephemeroptera,unk,unk,unk
larva,Megaloptera,Corydalidae,unk,PR
larva,Megaloptera,unk,unk,PR
larva,Odonata,Cordulegastridae,unk,PR
unk,Odonata,Cordulegastridae,unk,PR
larva,Odonata,Gomphidae,Lanthus,PR
larva,Odonata,Gomphidae,Ophiogomphus,PR
larva,Odonata,Gomphidae,unk,PR
larva,Odonata,unk,unk,PR
unk,Oligochaeta,unk,unk,unk
larva,Plecoptera,Capniidae,Paracapnia,
larva,Plecoptera,Chloroperlidae,Haploperla,PR
larva,Plecoptera,Chloroperlidae,Sweltsa,PR
larva,Plecoptera,Chloroperlidae,unk,
larva,Plecoptera,Leuctridae,Leuctra,SH
larva,Plecoptera,Nemouridae,Amphinemura,CG
larva,Plecoptera,Nemouridae,Soyedina,CG
larva,Plecoptera,Peltoperlidae,Tallaperla,SH
adult,Plecoptera,Peltoperlidae,Tallaperla,SH
larva,Plecoptera,Peltoperlidae,Viehoperla,SH
larva,Plecoptera,Perlidae,unk,PR
adult,Plecoptera,Perlidae,unk,PR
larva,Plecoptera,Perlodidae,Diploperla,
larva,Plecoptera,Perlodidae,Isoperla,
larva,Plecoptera,Perlodidae,Malirekus,
larva,Plecoptera,Perlodidae,unk,
adult,Plecoptera,Perlodidae,unk,
larva,Plecoptera,Pteronarcyidae,Pteronarcys,
larva,Plecoptera,Taeniopterygidae,Oemopteryx,
larva,Plecoptera,Taeniopterygidae,Taeniopteryx,
larva,Plecoptera,unk,unk,
larva,Trichoptera,Brachycentridae,Brachycentrus,
larva,Trichoptera,Brachycentridae,unk,
larva,Trichoptera,Hydropsychidae,Diplectrona,
larva,Trichoptera,Hydropsychidae,Hydropsyche,
larva,Trichoptera,Hydropsychidae,Parapsyche,
larva,Trichoptera,Hydropsychidae,unk,
larva,Trichoptera,Lepidostomatidae,Lepidostoma,
larva,Trichoptera,Leptoceridae,Oecetis,
larva,Trichoptera,Limnephilidae,Hydatophylax,
larva,Trichoptera,Limnephilidae,Pycnopsyche,
larva,Trichoptera,Odontoceridae,Psilotreta,
larva,Trichoptera,Philopotamidae,unk,
larva,Trichoptera,Philopotamidae,Wormaldia,
larva,Trichoptera,Polycentropodidae,Polycentropus,
larva,Trichoptera,Polycentropodidae,unk,
larva,Trichoptera,Psychomyiidae,Lype,
larva,Trichoptera,Psychomyiidae,unk,
larva,Trichoptera,pupa,pupa,
larva,Trichoptera,Rhyacophilidae,Rhyacophila,
larva,Trichoptera,Rhyacophilidae,unk,
larva,Trichoptera,Sericostomatidae,Fattigia,
larva,Trichoptera,unk,unk,
pupa,Trichoptera,unk,unk,
case,Trichoptera,unk,unk,
pupa,unk,unk,unk,
larva,unk,unk,unk,
case,unk,unk,unk,
unk,unk,unk,unk,
