"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"1","C0001","R",5.07,3.83,1.7586,5.5656,NA,2017-09-21,2017-11-15,"WS36","","","","C0001/R/2017-09-21/2017-11-15/WS36",5.01375,4.79156839908236,NA,NA,NA,"0001"
"2","C0002","R",4.92,3.83,1.7732,5.6023,2.0003,2017-09-21,2017-11-15,"WS36","","","","C0002/R/2017-09-21/2017-11-15/WS36",4.86375,4.64821556739702,0.940691024000418,3.6028466219216,77.5103170169704,"0002"
"3","C0003","R",4.98,4.05,2.1279,5.131,2.3084,2017-09-21,2017-11-15,"WS36","","","","C0003/R/2017-09-21/2017-11-15/WS36",4.92375,4.70555670007115,0.939895441377244,3.80657653757784,80.8953494816092,"0003"
"4","C0004","R",4.91,3.86,2.0755,5.8691,2.3249,2017-09-21,2017-11-15,"WS36","","","","C0004/R/2017-09-21/2017-11-15/WS36",4.85375,4.63865871195133,0.934257697174188,3.60623471109237,77.7430489076732,"0004"
"5","C0005","R",5.04,4.31,1.9789,6.2422,2.2108,2017-09-21,2017-11-15,"WS31","","","","C0005/R/2017-09-21/2017-11-15/WS31",4.98375,4.76289783274529,0.945605516853142,4.07555977763704,85.5689103725311,"0005"
"6","C0006","R",4.92,4.21,1.7749,5.7927,1.9843,2017-09-21,2017-11-15,"WS31","","","","C0006/R/2017-09-21/2017-11-15/WS31",4.86375,4.64821556739702,0.947881925431828,3.990582906068,85.8519328160743,"0006"
"7","C0007","R",4.99,4.38,3.6298,7.331,3.8484,2017-09-21,2017-11-15,"WS31","","","","C0007/R/2017-09-21/2017-11-15/WS31",4.93375,4.71511355551684,0.940938074138117,4.12130876472495,87.4063522797427,"0007"
"8","C0008","R",4.95,4.35,2.1033,6.3184,2.333,2017-09-21,2017-11-15,"WS31","","","","C0008/R/2017-09-21/2017-11-15/WS31",4.89375,4.67688613373409,0.945505444710683,4.11294868449147,87.9420316613019,"0008"
"9","C0009","R",5.05,4.23,1.758,5.951,1.986,2017-09-21,2017-11-15,"WS32","","","","C0009/R/2017-09-21/2017-11-15/WS32",4.99375,4.77245468819098,0.945623658478416,3.9999880753637,83.8140608283055,"0009"
"10","C0010","R",5.05,4.4,2.0006,6.1629,2.2046,2017-09-21,2017-11-15,"WS32","","","","C0010/R/2017-09-21/2017-11-15/WS32",4.99375,4.77245468819098,0.950988636090623,4.18434999879874,87.6771027109498,"0010"
"11","C0011","R",5.08,3.82,1.7688,5.9809,1.9997,2017-09-21,2017-11-15,"WS32","","","","C0011/R/2017-09-21/2017-11-15/WS32",5.02375,4.80112525452804,0.945181738325301,3.61059424040265,75.2030836312263,"0011"
"12","C0012","R",5.01,4.55,3.6627,8.2119,3.9059,2017-09-21,2017-11-15,"WS32","","","","C0012/R/2017-09-21/2017-11-15/WS32",4.95375,4.73422726640822,0.946540050997978,4.3067572320408,90.9706482111549,"0012"
"13","C0013","R",4.93,4,1.7871,5.4018,2.0141,2017-09-21,2017-11-15,"WS07","","","","C0013/R/2017-09-21/2017-11-15/WS07",4.87375,4.65777242284271,0.937200874208095,3.74880349683238,80.4849004311041,"0013"
"14","C0014","R",5,2.99,1.7816,5.4058,2.0265,2017-09-21,2017-11-15,"WS07","","","","C0014/R/2017-09-21/2017-11-15/WS07",4.94375,4.72467041096253,0.932426466530545,2.78795513492633,59.0084575731994,"0014"
"15","C0015","R",4.98,3.78,2.0981,NA,NA,2017-09-21,2017-11-15,"WS07","","","","C0015/R/2017-09-21/2017-11-15/WS07",4.92375,4.70555670007115,NA,NA,NA,"0015"
"16","C0016","R",5.02,4.02,1.9582,5.9087,2.2299,2017-09-21,2017-11-15,"WS07","","","","C0016/R/2017-09-21/2017-11-15/WS07",4.96375,4.74378412185391,0.931223895709404,3.7435200607518,78.9142162584077,"0016"
"17","C0017","R",4.96,3.24,1.9964,4.8077,2.155,2017-09-21,2017-11-15,"WS02","","","","C0017/R/2017-09-21/2017-11-15/WS02",4.90375,4.68644298917978,0.943584818411411,3.05721481165297,65.2352929228325,"0017"
"18","C0018","R",5,3.63,2.0595,5.4082,NA,2017-09-21,2017-11-15,"WS02","","","","C0018/R/2017-09-21/2017-11-15/WS02",4.94375,4.72467041096253,NA,NA,NA,"0018"
"19","C0019","R",5,4.39,1.7338,5.6945,1.9557,2017-09-21,2017-11-15,"WS02","","","","C0019/R/2017-09-21/2017-11-15/WS02",4.94375,4.72467041096253,0.943974549953291,4.14404827429495,87.7108435898432,"0019"
"20","C0020","R",4.95,4.15,2.0283,6.0881,2.2515,2017-09-21,2017-11-15,"WS02","","","","C0020/R/2017-09-21/2017-11-15/WS02",4.89375,4.67688613373409,0.94502192226218,3.92184097738805,83.8558148572413,"0020"
"21","C0021","R",5.02,3.95,3.6082,7.5758,3.8841,2017-09-21,2017-11-15,"WS01","","","","C0021/R/2017-09-21/2017-11-15/WS01",4.96375,4.74378412185391,0.930461740094768,3.67532387337433,77.4766258110832,"0021"
"22","C0022","R",4.99,3.7,2.0873,5.5929,2.3559,2017-09-21,2017-11-15,"WS01","","","","C0022/R/2017-09-21/2017-11-15/WS01",4.93375,4.71511355551684,0.923379735280694,3.41650502053857,72.4585946936769,"0022"
"23","C0023","R",4.94,3.68,2.0964,5.5986,2.3519,2017-09-21,2017-11-15,"WS01","","","","C0023/R/2017-09-21/2017-11-15/WS01",4.88375,4.6673292782884,0.927045856889955,3.41152875335503,73.0938091131661,"0023"
"24","C0024","R",5.02,3.65,2.1301,5.2704,2.3254,2017-09-21,2017-11-15,"WS01","","","","C0024/R/2017-09-21/2017-11-15/WS01",4.96375,4.74378412185391,0.937808489634748,3.42300098716683,72.1576045460748,"0024"
"25","C0025","R",5.03,3.74,2.0306,5.6695,2.217,2017-09-21,2017-11-15,"WS08","","","","C0025/R/2017-09-21/2017-11-15/WS08",4.97375,4.7533409772996,0.948775728929072,3.54842122619473,74.6510978938988,"0025"
"26","C0026","R",5.09,4.22,3.6494,7.6694,3.8968,2017-09-21,2017-11-15,"WS08","","","","C0026/R/2017-09-21/2017-11-15/WS08",5.03375,4.81068210997373,0.938457711442786,3.96029154228856,82.3228692263389,"0026"
