"","stream","start_date","end_date","mean_nh4.mgl","sd_nh4.mgl","N_nh4.mgl","mean_no3.mgl","sd_no3.mgl","N_no3.mgl","mean_po4.mgl","sd_po4.mgl","N_po4.mgl","mean_din.mgl","sd_din.mgl","N_din.mgl","deployment"
"1","WS01",2017-09-21,2017-11-15,0.002875,0.0017268882005338,8,0.019625,0.0141919242629643,8,0.00499178275,0.00418154333442798,8,0.0225,0.0149857074765067,8,"1"
"2","WS01",2017-10-19,2017-12-11,0.00214285714285714,0.000377964473009227,7,0.0104571428571429,0.00429567889196308,7,0.00200021614285714,5.53450287301656e-05,7,0.0126,0.00417252920900501,7,"2a"
"3","WS01",2017-10-19,2017-12-18,0.002375,0.000744023809142845,8,0.0103875,0.00398190101764041,8,0.00199357275,5.45762568411e-05,8,0.0127625,0.00389025797895938,8,"2b"
"4","WS01",2017-11-15,2018-01-05,0.00285714285714286,0.0013451854182691,7,0.0134714285714286,0.0075380621483496,7,0.00199873542857143,5.82540315195928e-05,7,0.0163285714285714,0.00843340862002909,7,"3"
"5","WS01",2017-12-11,2018-02-08,0.00277777777777778,0.00120185042515466,9,0.0230111111111111,0.0100592549978172,9,0.00309460455555556,0.00334007080705519,9,0.0257888888888889,0.0101470986548427,9,"4a"
"6","WS01",2017-12-18,2018-02-08,0.002625,0.00118773493916542,8,0.02465,0.00938174519250778,8,0.0032380465,0.00354092686386057,8,0.027275,0.00974455892133803,8,"4b"
"7","WS01",2018-01-11,2018-03-08,0.003125,0.000991031208965115,8,0.024625,0.0048678977568791,8,0.005474493375,0.00439878504070132,8,0.02775,0.00489168390521827,8,"5"
"8","WS01",2018-02-08,2018-04-06,0.00325,0.000886405260427918,8,0.02605695575,0.00486458651329985,8,0.00422282825,0.00363488164980378,8,0.02930695575,0.00472093057741875,8,"6"
"9","WS01",2018-03-08,2018-05-09,0.003,0.000866025403784439,9,0.0355897452222222,0.00757666820178988,9,0.00196899633333333,3.60174131011654e-05,9,0.0385897452222222,0.00749119543464285,9,"7"
"10","WS01",2018-04-06,2018-06-06,0.00311111111111111,0.00105409255338946,9,0.0439437656666667,0.00954742431767216,9,0.00197109177777778,3.73727995498657e-05,9,0.0470548767777778,0.00878618286266125,9,"8"
"11","WS01",2018-05-09,2018-07-05,0.002625,0.00106066017177982,8,0.046705141,0.0097491481160936,8,0.003716228,0.00191138315864088,8,0.049330141,0.00904637212941282,8,"9"
"12","WS01",2018-06-06,2018-08-03,0.002625,0.000744023809142845,8,0.057586409875,0.0154905196987324,8,0.004848248375,0.00125840081648824,8,0.060211409875,0.0157197676419019,8,"10"
"13","WS01",2018-07-05,2018-08-31,0.00275,0.000462910049886276,8,0.066665902875,0.0108602646942409,8,0.005298497125,0.00231720545717795,8,0.069415902875,0.011124131838375,8,"11"
"14","WS01",2018-08-03,2018-09-28,0.0025,0.000755928946018455,8,0.05846521575,0.010438369670899,8,0.005669778875,0.00190897412566499,8,0.06096521575,0.0107755179902302,8,"12"
"15","WS02",2017-09-21,2017-11-15,0.002625,0.00118773493916542,8,0.00725,0.00486239212146215,8,0.01175,0.00231455024943138,8,0.009875,0.00470372193055669,8,"1"
"16","WS02",2017-10-19,2017-12-11,0.00285714285714286,0.0010690449676497,7,0.00335714285714286,0.0016297823401272,7,0.00942205785714286,0.00577946680825346,7,0.00621428571428571,0.00256607909168091,7,"2a"
"17","WS02",2017-10-19,2017-12-18,0.002875,0.000991031208965115,8,0.00305,0.00174109981661838,8,0.008506895125,0.00594396089440125,8,0.005925,0.00251268211848841,8,"2b"
"18","WS02",2017-11-15,2018-01-05,0.00242857142857143,0.000975900072948533,7,0.00157142857142857,0.000549891764241794,7,0.00529385985714286,0.00578919120029688,7,0.004,0.00128452325786651,7,"3"
"19","WS02",2017-12-11,2018-02-08,0.00266666666666667,0.001,9,0.00127777777777778,0.000443784231856478,9,0.00545239466666667,0.00429743347684813,9,0.00394444444444444,0.00106314522892114,9,"4a"
"20","WS02",2017-12-18,2018-02-08,0.002625,0.00106066017177982,8,0.001325,0.000449602999481606,8,0.0058713495,0.00439327097360429,8,0.00395,0.00113641038864865,8,"4b"
"21","WS02",2018-01-11,2018-03-08,0.004375,0.00213390989232709,8,0.0015,0.000755928946018455,8,0.00862621525,0.00388672219968416,8,0.005875,0.00269589635239509,8,"5"
"22","WS02",2018-02-08,2018-04-06,0.005,0.002,8,0.00224868725,0.000705523463769329,8,0.009835107125,0.00251413288012964,8,0.00724868725,0.00212291428753372,8,"6"
"23","WS02",2018-03-08,2018-05-09,0.005,0.00187082869338697,9,0.00293219222222222,0.000889974131741308,9,0.011212125,0.00525870278953161,9,0.00793219222222222,0.00190178986882586,9,"7"
"24","WS02",2018-04-06,2018-06-06,0.00422222222222222,0.00227913238852956,9,0.00416413333333333,0.0019390271705626,9,0.0102372491111111,0.00704404995786526,9,0.00838635555555556,0.0016627623540235,9,"8"
"25","WS02",2018-05-09,2018-07-05,0.003,0.0010690449676497,8,0.0065650995,0.00229493187939132,8,0.007455875,0.00457200188098083,8,0.0095650995,0.00233701513893642,8,"9"
"26","WS02",2018-06-06,2018-08-03,0.00325,0.000886405260427918,8,0.009439384875,0.00198134514762064,8,0.006119488375,0.00190006350466135,8,0.012689384875,0.00165332118813699,8,"10"
"27","WS02",2018-07-05,2018-08-31,0.003,0.000925820099772551,8,0.00968550075,0.0022520603605182,8,0.006434118875,0.00270306896841193,8,0.01268550075,0.00193671500491799,8,"11"
"28","WS02",2018-08-03,2018-09-28,0.003125,0.00083452296039628,8,0.00896502725,0.00239715534319056,8,0.007303477875,0.00198015924509603,8,0.01209002725,0.0025134923818609,8,"12"
"29","WS06",2017-09-21,2017-11-15,0.0017847065,0.000666811333936583,8,0.040625,0.0309050966670548,8,0.003967560875,0.00376181117190409,8,0.0424097065,0.0307245801423957,8,"1"
"30","WS06",2017-10-19,2017-12-11,0.00214285714285714,0.000899735410842437,7,0.0979571428571429,0.0583462897175949,7,0.00524354085714286,0.00564778692160296,7,0.1001,0.0584010273882232,7,"2a"
"31","WS06",2017-10-19,2017-12-18,0.002125,0.00083452296039628,8,0.1102,0.0641643425676821,8,0.00633809825,0.00607660751572827,8,0.112325,0.0641797865375073,8,"2b"
"32","WS06",2017-11-15,2018-01-05,0.00257142857142857,0.00171824938596845,7,0.187442857142857,0.0412490750257044,7,0.008134982,0.00590953713205233,7,0.190014285714286,0.0424065414989806,7,"3"
"33","WS06",2017-12-11,2018-02-08,0.00433333333333333,0.00608276253029822,9,0.225377777777778,0.0294267216054464,9,0.00531180644444444,0.00511532597563811,9,0.229711111111111,0.0340385606498147,9,"4a"
"34","WS06",2017-12-18,2018-02-08,0.004625,0.00643511571657529,8,0.2290625,0.0291545114127177,8,0.00422578225,0.00421582364483006,8,0.2336875,0.0340808885489465,8,"4b"
"35","WS06",2018-01-11,2018-03-08,0.002375,0.000916125381312904,8,0.23025,0.0193593831070547,8,0.0032225015,0.00354755224406318,8,0.232625,0.0192200602050492,8,"5"
"36","WS06",2018-02-08,2018-04-06,0.002375,0.000744023809142845,8,0.233590815625,0.0185518764309077,8,0.002002544375,3.95914362743745e-05,8,0.235965815625,0.0187924068632735,8,"6"
"37","WS06",2018-03-08,2018-05-09,0.003,0.00206155281280883,9,0.222694942222222,0.0173655611512738,9,0.00198705455555556,7.54347276741806e-05,9,0.225694942222222,0.0167962661653902,9,"7"
"38","WS06",2018-04-06,2018-06-06,0.00312641188888889,0.00201010931067743,9,0.211272847,0.0296925769942981,9,0.00198331266666667,7.68334566448758e-05,9,0.214399258888889,0.0296200829329375,9,"8"
"39","WS06",2018-05-09,2018-07-05,0.002142213375,0.000607306943529955,8,0.207219909625,0.0297881367162776,8,0.002033197,5.6222159238405e-05,8,0.209362123,0.0297488226353114,8,"9"
"40","WS06",2018-06-06,2018-08-03,0.002375,0.000744023809142845,8,0.196807729875,0.0164953458266276,8,0.0020331735,8.85630687395792e-05,8,0.199182729875,0.0165560777374106,8,"10"
"41","WS06",2018-07-05,2018-08-31,0.0025,0.000755928946018455,8,0.180299305,0.0133209678883755,8,0.00198191675,8.39814505347971e-05,8,0.182799305,0.0138170439488021,8,"11"
"42","WS06",2018-08-03,2018-09-28,0.0022645895,0.000863558236647651,8,0.142074297625,0.0422739997488995,8,0.003122157,0.00317432852532653,8,0.144338887125,0.0423970008776912,8,"12"
"43","WS07",2017-09-21,2017-11-15,0.002,0.0010690449676497,8,0.006875,0.0023566016694748,8,0.003152024375,0.00317209252453712,8,0.008875,0.00294897076476329,8,"1"
"44","WS07",2017-10-19,2017-12-11,0.00257142857142857,0.000786795792469443,7,0.0101,0.00448367408866137,7,0.00332968442857143,0.00338307096580562,7,0.0126714285714286,0.00455950080809814,7,"2a"
"45","WS07",2017-10-19,2017-12-18,0.002625,0.000744023809142845,8,0.0121625,0.00715979598671838,8,0.003158147625,0.00316947061728687,8,0.0147875,0.00732401870560145,8,"2b"
"46","WS07",2017-11-15,2018-01-05,0.00242857142857143,0.000534522483824849,7,0.0268857142857143,0.0149853738215444,7,0.00329734,0.00339677390047326,7,0.0293142857142857,0.015155684145058,7,"3"
"47","WS07",2017-12-11,2018-02-08,0.00255555555555556,0.00113038833052088,9,0.0392777777777778,0.011190819650251,9,0.00410331366666667,0.00420112515723089,9,0.0418333333333333,0.0108080988152404,9,"4a"
"48","WS07",2017-12-18,2018-02-08,0.0025,0.00119522860933439,8,0.0408625,0.0108302404009725,8,0.004371554125,0.00440802853184133,8,0.0433625,0.0104618951438064,8,"4b"
"49","WS07",2018-01-11,2018-03-08,0.003,0.00119522860933439,8,0.047875,0.0140553751792178,8,0.0032474925,0.00353689008323866,8,0.050875,0.013922617775199,8,"5"
