"","stage","order","family"
"1","larva","Ephemeroptera","Heptageniidae"
"3","larva","Ephemeroptera","Baetidae"
"5","larva","Plecoptera","Perlodidae"
"6","larva","Trichoptera","Philopotamidae"
"7","larva","Trichoptera","Polycentropodidae"
"8","unk","Oligochaeta","unk"
"9","larva","Trichoptera","Hydropsychidae"
"12","larva","Plecoptera","Perlidae"
"16","larva","Ephemeroptera","Leptophlebiidae"
"18","larva","Ephemeroptera","Ephemerellidae"
"27","pupa","unk","unk"
"30","larva","Diptera","Ceratopogonidae"
"42","larva","Ephemeroptera","unk"
"44","larva","Coleoptera","Elmidae"
"63","larva","Trichoptera","Rhyacophilidae"
"65","unk","Collembola","unk"
"66","unk","Amphipoda","unk"
"75","larva","Megaloptera","Corydalidae"
"83","larva","Odonata","Gomphidae"
"86","larva","Odonata","Cordulegastridae"
"99","larva","Plecoptera","unk"
"126","larva","Diptera","Dixidae"
"127","larva","Coleoptera","Carabidae"
"140","larva","Diptera","Empididae"
"148","larva","Diptera","Simuliidae"
"227","larva","Coleoptera","Psephenidae"
"255","larva","Plecoptera","Chloroperlidae"
"307","larva","Ephemeroptera","Ephemeridae"
"339","adult","Coleoptera","Elmidae"
"352","larva","Trichoptera","unk"
"357","unk","Odonata","Cordulegastridae"
"387","larva","Diptera","unk"
"401","larva","Diptera","Psychodidae"
"536","larva","unk","unk"
"627","unk","Crayfish","unk"
"670","larva","Trichoptera","Brachycentridae"
"714","larva","Diptera","Chironomidae"
"719","unk","unk","unk"
"725","pupa","Trichoptera","unk"
"730","larva","Diptera","Cecidomyiidae"
"731","adult","Coleoptera","Staphylinidae"
"756","larva","Odonata","unk"
"819","larva","Trichoptera","Psychomyiidae"
"908","larva","Diptera","Athericidae"
"931","larva","Megaloptera","unk"
"952","adult","Coleoptera","unk"
"1235","larva","Diptera","Limoniidae"
