"","stage","order","family","genus"
"1","larva","Diptera","Chironomidae","non_tany"
"6","larva","Diptera","Chironomidae","tany"
"7","larva","Plecoptera","Peltoperlidae","Tallaperla"
"9","larva","Plecoptera","Leuctridae","Leuctra"
"10","larva","Trichoptera","Lepidostomatidae","Lepidostoma"
"18","larva","Plecoptera","Nemouridae","Amphinemura"
"28","larva","Diptera","Limoniidae","Hexatoma"
"42","larva","Coleoptera","Ptilodactylidae","Anchytarsus"
"49","larva","Diptera","Pediciidae","Dicranota"
"53","larva","Trichoptera","Rhyacophilidae","Rhyacophila"
"74","larva","Trichoptera","Limnephilidae","Pycnopsyche"
"96","larva","Plecoptera","Nemouridae","Soyedina"
"123","larva","Diptera","Tipulidae","Tipula"
"137","larva","Trichoptera","Odontoceridae","Psilotreta"
"207","larva","Plecoptera","Peltoperlidae","Viehoperla"
"223","larva","Trichoptera","Leptoceridae","Oecetis"
"239","larva","Ephemeroptera","Ephemeridae","Ephemera"
"240","larva","Ephemeroptera","Leptophlebiidae","Habrophlebia"
"246","larva","Trichoptera","Brachycentridae","Brachycentrus"
"278","larva","Trichoptera","Sericostomatidae","Fattigia"
"314","larva","Plecoptera","Pteronarcyidae","Pteronarcys"
"373","adult","Plecoptera","Peltoperlidae","Tallaperla"
"396","larva","Diptera","Athericidae","Atherix"
"481","larva","Plecoptera","Capniidae","Paracapnia"
"509","larva","Diptera","Limoniidae","Pseudolimnophila"
"519","larva","Plecoptera","Taeniopterygidae","Taeniopteryx"
"594","larva","Ephemeroptera","Ameletidae","Ameletus"
"646","larva","Diptera","Dixidae","Dixa"
"689","adult","Coleoptera","Hydrochidae","Hydrochus"
"775","larva","Plecoptera","Perlodidae","Isoperla"
"777","larva","Ephemeroptera","Ephemerellidae","Ephemerella"
"779","larva","Trichoptera","Hydropsychidae","Parapsyche"
"780","larva","Trichoptera","Philopotamidae","Wormaldia"
"784","larva","Ephemeroptera","Ephemerellidae","Serratella"
"801","larva","Trichoptera","Hydropsychidae","Diplectrona"
"816","larva","Ephemeroptera","Heptageniidae","Stenonema"
"827","larva","Diptera","Psychodidae","Pericomaini"
"837","larva","Trichoptera","Psychomyiidae","Lype"
"867","larva","Diptera","Sciaridae","Sciara"
"878","larva","Odonata","Gomphidae","Ophiogomphus"
"887","larva","Plecoptera","Perlodidae","Diploperla"
"891","larva","Plecoptera","Chloroperlidae","Sweltsa"
"898","larva","Ephemeroptera","Leptophlebiidae","Paraleptophlebia"
"910","larva","Ephemeroptera","Heptageniidae","Epeorus"
"919","larva","Odonata","Gomphidae","Lanthus"
"922","larva","Trichoptera","Polycentropodidae","Polycentropus"
"934","larva","Ephemeroptera","Baetidae","Baetis"
"981","larva","Trichoptera","pupa","pupa"
"982","larva","Coleoptera","Elmidae","Optioservus"
"998","larva","Plecoptera","Perlodidae","Malirekus"
"1002","larva","Trichoptera","Limnephilidae","Hydatophylax"
"1010","larva","Diptera","Simuliidae","Prosimulium"
"1012","larva","Diptera","Simuliidae","Simulium"
"1042","larva","Trichoptera","Hydropsychidae","Hydropsyche"
"1059","larva","Plecoptera","Taeniopterygidae","Oemopteryx"
"1072","larva","Plecoptera","Chloroperlidae","Haploperla"
"1175","adult","Coleoptera","Elmidae","Optioservus"
