stage,order,family,genus,a,b,data_source
larva,Coleoptera,Elmidae,Optioservus,0.0039,2.96,Benke_Appendix1
adult,Coleoptera,Elmidae,Optioservus,unk,unk,NA
adult,Coleoptera,Hydrochidae,Hydrochus,unk,unk,NA
larva,Coleoptera,Ptilodactylidae,Anchytarsus,0.0011,3.1,Wallace
larva,Diptera,Athericidae,Atherix,0.0038,2.586,Wallace
larva,Diptera,Chironomidae,non_tany,0.0018,2.617,Benke_Table4_family
larva,Diptera,Chironomidae,tany,0.0038,2.411,Benke_Appendix1
larva,Diptera,Dixidae,Dixa,0.000891,2.876485,Wallace
larva,Diptera,Limoniidae,Hexatoma,0.0052,2.5615,Wallace
larva,Diptera,Limoniidae,Pseudolimnophila,0.0035,2.5595,Wallace
larva,Diptera,Pediciidae,Dicranota,0.0027,2.6372,Wallace
larva,Diptera,Psychodidae,Pericomaini,0.000891,2.876485,Phoenix_bug_traits
larva,Diptera,Sciaridae,Sciara,0.004,2.0911,Wallace
larva,Diptera,Simuliidae,Prosimulium,0.0012,3.19,Benke_Appendix1
larva,Diptera,Simuliidae,Simulium,0.0031,2.64,Wallace
larva,Diptera,Tipulidae,Tipula,0.0064,2.4432,Wallace
larva,Ephemeroptera,Ameletidae,Ameletus,0.0077,2.588,Benke_Appendix1
larva,Ephemeroptera,Baetidae,Baetis,0.0068,2.721,Wallace
larva,Ephemeroptera,Ephemerellidae,Ephemerella,0.0097,2.663,Benke_Appendix1
larva,Ephemeroptera,Ephemerellidae,Serratella,0.0103,2.9034,Wallace
larva,Ephemeroptera,Ephemeridae,Ephemera,0.0021,2.737,Benke_Appendix1
larva,Ephemeroptera,Heptageniidae,Epeorus,0.0126,2.814,Wallace
larva,Ephemeroptera,Heptageniidae,Stenonema,0.0128,2.61,Wallace
larva,Ephemeroptera,Leptophlebiidae,Habrophlebia,0.0047,2.566,Benke_Appendix1
larva,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,0.0038,2.9184,Wallace
larva,Odonata,Gomphidae,Lanthus,0.097,2.8947,Wallace
larva,Odonata,Gomphidae,Ophiogomphus,0.0088,2.787,Benke_Table4_family
larva,Plecoptera,Capniidae,Paracapnia,0.001,2.487,Benke_Appendix1_Allocapnia
larva,Plecoptera,Chloroperlidae,Haploperla,0.0065,2.724,Benke_Table4_family
larva,Plecoptera,Chloroperlidae,Sweltsa,0.0062,2.7241,Wallace
larva,Plecoptera,Leuctridae,Leuctra,0.003,2.6941,Wallace
larva,Plecoptera,Nemouridae,Amphinemura,0.0071,2.678,Wallace
larva,Plecoptera,Nemouridae,Soyedina,0.0071,2.678,Wallace
larva,Plecoptera,Peltoperlidae,Tallaperla,0.0194,2.8527,Wallace
adult,Plecoptera,Peltoperlidae,Tallaperla,0.0194,2.8527,Wallace
larva,Plecoptera,Peltoperlidae,Viehoperla,0.0194,2.8527,Wallace_Tallaperla
larva,Plecoptera,Perlodidae,Diploperla,0.0196,2.742,Benke_Table4_family
larva,Plecoptera,Perlodidae,Isoperla,0.01,2.6581,Wallace
larva,Plecoptera,Perlodidae,Malirekus,0.0119,2.695,Benke_Appendix1
larva,Plecoptera,Pteronarcyidae,Pteronarcys,0.0538,2.3,Benke_Appendix1
larva,Plecoptera,Taeniopterygidae,Oemopteryx,0.0072,2.655,Benke_Table4_family
larva,Plecoptera,Taeniopterygidae,Taeniopteryx,0.0067,2.711,Benke_Appendix1
larva,Trichoptera,Brachycentridae,Brachycentrus,0.0025,2.6,Benke_Appendix1
larva,Trichoptera,Hydropsychidae,Diplectrona,0.0043,2.91,Wallace
larva,Trichoptera,Hydropsychidae,Hydropsyche,0.0051,2.824,Benke_Appendix1
larva,Trichoptera,Hydropsychidae,Parapsyche,0.009232,2.532841,Wallace
larva,Trichoptera,Lepidostomatidae,Lepidostoma,0.0049,2.84,Wallace
larva,Trichoptera,Leptoceridae,Oecetis,0.0034,3.212,Benke_Appendix1
larva,Trichoptera,Limnephilidae,Hydatophylax,0.004,2.933,Benke_Table4_family
larva,Trichoptera,Limnephilidae,Pycnopsyche,0.0065,2.74,Wallace
larva,Trichoptera,Odontoceridae,Psilotreta,0.0064,3.2407,Wallace
larva,Trichoptera,Philopotamidae,Wormaldia,0.0044,2.6517,Wallace
larva,Trichoptera,Polycentropodidae,Polycentropus,0.0036,3,Wallace
larva,Trichoptera,Psychomyiidae,Lype,0.0018,3.13,Wallace
larva,Trichoptera,pupa,pupa,unk,unk,NA
larva,Trichoptera,Rhyacophilidae,Rhyacophila,0.0016,3.124,Wallace
larva,Trichoptera,Sericostomatidae,Fattigia,0.0065,2.74,Wallace
