sample.date,id.date,stream,sample.id,fraction,rhodo.acer,stage,order,family,genus,length_mm,number,notes
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Diptera,Chironomidae,non_tany,1,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,3,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,3,9,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,5,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,9,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,10,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,11,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,13,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Perlidae,unk,2,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Perlidae,unk,3,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,6,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Perlodidae,unk,5,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,3,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,4,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,5,2,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,6,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,2,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,larva,Ephemeroptera,Baetidae,unk,1,1,sample was collected one month too late
7/5/18,7/25/23,WS07,14,1_mm,R,unk,Oligochaeta,unk,unk,1,2,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,non_tany,1,3,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,8,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,2,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,2,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Simuliidae,unk,3,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Simuliidae,unk,4,8,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Simuliidae,unk,5,5,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,tany,2,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Diptera,Chironomidae,tany,4,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,2,4,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,3,41,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,37,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,8,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,6,3,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,12,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,13,2,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,15,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,3,14,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,4,12,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,5,3,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,6,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Perlodidae,unk,3,2,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Perlodidae,unk,5,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,3,1,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,pupa,unk,unk,unk,2,6,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,pupa,unk,unk,unk,3,4,sample was collected one month too late
7/5/18,7/26/23,WS07,16,1_mm,R,unk,Oligochaeta,unk,unk,2,2,sample was collected one month too late
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,1,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,2,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,11,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,18,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,4,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Diptera,Chironomidae,tany,3,2,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,2,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Ephemeroptera,Heptageniidae,unk,3,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Ephemeroptera,Baetidae,unk,6,1,family is best guess
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Ephemeroptera,Baetidae,unk,7,1,family is best guess
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Plecoptera,Perlodidae,unk,7,2,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,6,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,7,2,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,5,3,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,4,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,7,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Trichoptera,Philopotamidae,unk,3,1,
12/11/17,5/19/23,WS27,97,1_mm,R,larva,Trichoptera,Polycentropodidae,unk,4,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,3,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,2,
7/5/18,7/15/23,WS31,97,1_mm,R,unk,Oligochaeta,unk,unk,2,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,2,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,4,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Hydropsychidae,unk,5,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,5,2,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,7,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Trichoptera,Lepidostomatidae,Lepidostoma,9,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Perlidae,unk,3,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Perlidae,unk,4,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,5,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Leuctridae,Leuctra,6,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,3,4,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,4,1,
7/5/18,7/15/23,WS31,97,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,5,2,
7/5/18,7/15/23,,98,1_mm,R,larva,Diptera,Chironomidae,non_tany,2,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Chironomidae,non_tany,3,4,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Chironomidae,non_tany,4,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Chironomidae,non_tany,5,2,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Chironomidae,non_tany,6,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Limoniidae,Hexatoma,12,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Diptera,Chironomidae,tany,2,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,2,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Nemouridae,Amphinemura,5,3,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,2,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,3,7,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,4,6,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Peltoperlidae,Tallaperla,5,1,
7/5/18,7/15/23,WS31,98,1_mm,R,larva,Plecoptera,Perlidae,unk,5,2,
